"HAMPDEN HOUSE",,,,,,,,,,,,
Grid ref,SP848024,Long,-0.773981,Lat,51.713931,,,,,,,
Station no,1003,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.16,,1.30,1.32,2.79,3.79,1.58,2.89,2.44,4.11,,
February,5.37,,2.23,2.47,2.04,0.57,3.31,3.23,0.22,3.18,,
March,3.48,,0.54,2.82,1.18,0.90,1.81,2.07,2.98,1.26,,
April,3.10,,2.35,0.42,0.61,1.07,0.21,1.73,2.35,0.98,,
May,2.85,,1.78,3.47,3.89,0.34,1.39,2.21,1.24,1.89,,
June,1.65,,1.63,3.83,2.67,2.23,2.40,4.48,2.18,2.14,,
July,1.02,,3.45,2.33,0.78,2.42,3.23,3.42,3.29,4.70,,
August,,4.16,1.81,3.53,0.41,4.63,3.32,3.39,2.26,4.26,,
September,,4.24,2.60,2.21,2.28,2.58,3.42,6.26,0.26,6.12,,
October,,2.25,3.14,2.27,2.81,2.38,2.54,3.64,2.07,7.37,,
November,,3.64,1.59,6.87,1.71,1.05,1.98,2.90,2.16,5.28,,
December,,2.97,0.80,2.90,2.73,3.42,2.87,3.69,4.59,4.41,,
Total,,,23.22,34.44,23.90,25.38,28.06,39.91,26.04,45.70,,
Calc annual,20.63,17.26,23.22,34.44,23.90,25.38,28.06,39.91,26.04,45.70,,
Difference,NaN,NaN,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
