VATERSAY SCHOOLHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NL636955,Long,-7.531933,Lat,56.92812,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5763/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.95,2.29,1.22,6.16,4.98,6.07,5.9,6.54,3.75,7.22,6.24,3.92,7.87,,,,,,,,,
February,,,,,,,,,4.68,2.75,3.46,3.61,5.39,2.06,4.45,4.26,0.11,3.76,4.98,4.52,5.09,,,,,,,,,
March,,,,,,,,,3.4,4.21,1.61,2.13,3.08,2.08,2.37,2.35,2.26,3.4,3.23,4.77,4.12,,,,,,,,,
April,,,,,,,,,1.96,2.65,1.59,1.82,3.21,2.03,2.41,1.88,5.62,2.57,4.84,4.11,4.36,,,,,,,,,
May,,,,,,,,,1.25,1.53,1.07,1.69,2.81,3.18,3.06,0.93,3.02,1.54,2.4,1.94,0.86,,,,,,,,,
June,,,,,,,,,1.37,3.03,1.07,2.23,3.86,3.98,3.77,4,3.66,3.63,1.09,3.25,1.9,,,,,,,,,
July,,,,,,,,,5.79,3.84,3.18,4.1,4.64,2.49,3.84,4.08,4.5,4.03,1.99,5.5,,,,,,,,,,
August,,,,,,,,,2.13,3.11,5.55,4.63,3.59,2.98,3.13,4.06,0.47,4.24,4.95,4.73,,,,,,,,,,
September,,,,,,,,,2.43,4.21,1.4,5.51,3.49,4.5,6.32,5.98,6.57,6.48,2.66,8.74,,,,,,,,,,
October,,,,,,,,,1.56,5.63,4.35,6.57,7.82,6.88,5.4,0.71,1.97,5.49,5.32,7.51,,,,,,,,,,
November,,,,,,,,,5.46,7.7,4.03,4.64,5.67,5.63,1.34,5.03,6.84,5,5.83,5.19,,,,,,,,,,
December,,,,,,,,4.79,3.72,6.6,3.89,8.23,2.99,5.78,6.2,4.53,3.98,6.82,8.13,4.75,,,,,,,,,,
Total,,,,,,,,,36.7,47.55,32.42,51.32,51.53,47.66,48.19,44.35,42.75,54.18,51.66,58.93,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5763/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,738400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
