SALISBURY-NEWLANDS,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU152303,Long,-1.7844298,Lat,51.07183,Elevation,200,ft,,,,,,,,,,,,,
Station no,1511,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.93,5.03,2.44,4.98,1.39,4.52,2.17,2.94,2.72,2.58,0.66,4.87,6.02,2.59,4.88,2.71
February,,,,,,4.56,1.73,4.55,2.02,1.2,1.21,2.18,0.09,4.64,0.08,3.39,2.83,5.02,0.74,1.71,3.35
March,,,,,,0.12,0.55,3.52,2.61,0.11,1.32,0.78,1.85,3.62,3.24,0.85,2.76,4.45,0.15,1.16,2.52
April,,,,,,2.43,4.2,1.77,1.37,0.85,2.48,2.68,3.05,1.29,1.71,3.74,1.67,1.8,0,2.32,1.03
May,,,,,,5.02,1.85,0.58,1.38,1.67,1.28,2.29,3.93,1.12,0.68,0.75,1.09,2.38,2,0.88,0.55
June,,,,,,0,2.39,2.41,1.84,1.17,0.32,2.97,1.86,2.04,1.37,3.7,2.29,1.38,0.67,2.07,0.51
July,,,,,,3.07,1.38,2.81,,1.05,2.35,3.5,2.39,1.45,,0.43,4.77,1.28,2.84,6.12,2.13
August,,,,,,2.4,1.05,3.01,,0.94,3.49,4.34,-999,0.35,,2.03,0.34,0.89,2.3,2.65,0.1
September,,,,,,3.61,0.86,5.07,2.15,0.36,4.39,1.28,-999,2.58,1.95,3.77,3.24,2.15,1.56,1.27,1.46
October,,,,,,3.79,2.51,1.81,5.73,4.42,1.58,0.42,4.71,1.97,1.54,4.92,1.97,4.95,2.94,4.46,4.68
November,,,,,,2.49,8.33,3.11,3.57,8.48,5.18,4.88,1.66,0.75,1.91,7.54,2.92,1.31,5.21,6.28,7.39
December,,,,,,4.09,0.39,3.97,2.91,8.12,3.78,0.74,1.5,0.8,8.6,4.84,3.15,4.25,5.44,1.56,1.69
Total,,,,,,34.51,30.27,35.05,,29.76,31.9,28.23,27.89,23.33,,36.62,31.9,35.88,26.44,35.36,28.12
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1928 Jul Aug estimated,,,,,,,,,,,,,,,,,,,,,
1932 Aug Sep -999 (3.91) Accumulation total had been allocated by ref to surrounding stns but regarded as an estimate,,,,,,,,,,,,,,,,,,,,,
1934 Jul Aug estimated,,,,,,,,,,,,,,,,,,,,,
