BRAMCOTE-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK507375,Long,-1.247166,Lat,52.932517,Elevation,327,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2602/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.4,1.8,2.22,0.89,3.23,3.46,2.56,4.39,2.62,3.12,2.75,4.18,2.86,1.78,2.38,1.82,4.96,1,0.88,2.31,1.78,0.96,1.29,2.23,3.31,1.45,2.79,3.37,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,0.28,2.34,0.58,2.22,1.65,3.56,0.69,1.09,2.71,2.02,1.1,0.52,1.97,2.3,3.17,1.12,1.47,0.6,3.87,2.66,0.63,1.63,2.21,1.56,0.65,2.27,3.55,0.18,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.4,2.73,1.77,0.6,1.44,1.89,0.23,1.58,1.96,2.76,1.83,0.9,0.43,0.71,0.9,5.13,0.76,1.49,0.74,3.41,2.55,1.22,1.97,2.5,0.86,2.26,1.89,1.32,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,2.5,1.32,2.12,2.87,1.47,2.27,0.05,1.67,1.76,1.46,1.1,0.6,2.33,1.99,1.22,1.93,1.28,2.24,2.21,1.67,1.59,2.13,0.33,1.14,1.65,0.15,0.97,2.64,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,6.51,1.73,1.05,0.28,0.39,2.56,1.84,0.91,1.59,2.17,2.91,2.87,1.59,2.23,1.37,1.52,1.7,2,1.62,2.97,3.29,2.05,2.12,3.19,0.47,0.9,2.1,0.42,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,0.73,1.47,0.43,3.18,3.13,0.43,1.05,1.55,0.97,0.63,0.7,1.62,1.47,2.47,3.2,1.38,2.47,0.74,1.34,1.31,2.34,3,2.62,3.82,3.24,1.67,4.5,0.82,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,3.57,1.81,2.24,0.2,4.63,3.86,3.31,3.17,2.83,3.68,2.02,0.86,2.37,2.22,1.61,2.26,1,3.32,1.87,0.46,0.54,1.89,1.96,0.98,2.91,2.14,4.2,1.29,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,1.37,0.66,1.97,1.9,0.77,0.53,2.43,3.15,0.29,3.97,2.7,1.79,3.46,1.99,4.26,0.18,3.99,1.96,2.74,4.85,2.57,2.49,4.87,0.7,5.46,3.62,2.81,1.06,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.66,1.46,1.98,4.84,2.84,1.02,2.36,2.1,0.62,0.35,1.1,2.31,3.22,2.03,3.01,1.33,2.51,1.24,2.87,1.42,1.31,1.68,2.72,0.65,2.35,5.85,2.97,0.07,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.79,3.22,1.12,3.11,1.4,2.58,2.63,2.72,3.92,2.53,1.87,1.86,2.19,3.71,1.22,0.24,2.16,4.28,0.76,0.74,2.52,2.06,3.1,1.81,1.4,1.25,2.31,2.28,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
