"BRAMCOTE RESERVOIR",,,,,,,,,,,,
Grid ref,SK507375,Long,-1.247166,Lat,52.932517,,,,,,,
Station no,2602/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.31,1.78,0.96,1.29,2.23,3.31,1.45,2.79,3.37,5.13,,
February,2.66,0.63,1.63,2.21,1.56,0.65,2.27,3.55,0.18,1.86,,
March,3.41,2.55,1.22,1.97,2.50,0.86,2.26,1.89,1.32,1.49,,
April,1.67,1.59,2.13,0.33,1.14,1.65,0.15,0.97,2.64,1.20,,
May,2.97,3.29,2.05,2.12,3.19,0.47,0.90,2.10,0.42,1.30,,
June,1.31,2.34,3.00,2.62,3.82,3.24,1.67,4.50,0.82,2.28,,
July,0.46,0.54,1.89,1.96,0.98,2.91,2.14,4.20,1.29,3.06,,
August,4.85,2.57,2.49,4.87,0.70,5.46,3.62,2.81,1.06,3.58,,
September,1.42,1.31,1.68,2.72,0.65,2.35,5.85,2.97,0.07,4.03,,
October,0.74,2.52,2.06,3.10,1.81,1.40,1.25,2.31,2.28,5.02,,
November,5.11,1.66,1.63,4.48,1.71,0.80,2.01,1.35,2.43,2.96,,
December,1.73,2.25,0.96,2.39,2.20,2.45,2.03,3.04,3.20,3.41,,
Total,28.64,23.03,21.70,30.06,22.49,25.55,25.60,32.48,19.08,35.32,,
Calc annual,28.64,23.03,21.70,30.06,22.49,25.55,25.60,32.48,19.08,35.32,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
