OLLERTON-EDWINSTOWE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK625670,Long,-1.0659198,Lat,53.196418,Elevation,220,ft,,,,,,,,,,,,
Station no,RR7221,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,1.92,2.89,1.41,,,,,,,,,
February,,,,,,,,,1.92,1.63,1.83,,,,,,,,,
March,,,,,,,,,1.36,2.2,2.16,,,,,,,,,
April,,,,,,,,,1.45,1.33,0.61,,,,,,,,,
May,,,,,,,,,1.08,5.3,0.75,,,,,,,,,
June,,,,,,,,,0.39,1.08,1.18,,,,,,,,,
July,,,,,,,,,0.37,0.16,0.83,,,,,,,,,
August,,,,,,,,,4.01,2.01,1.02,,,,,,,,,
September,,,,,,,,,2.25,3.69,1.23,,,,,,,,,
October,,,,,,,,,2.28,1.15,,,,,,,,,,
November,,,,,,,,,0.9,1.65,,,,,,,,,,
December,,,,,,,,,6.93,4.4,,,,,,,,,,
Total,,,,,,,,,24.86,27.49,,,,,,,,,,
