OLLERTON EDWINSTOWE HALL,,,,,,,,,,,,
Grid ref,SK625670,Long,-1.065920,Lat,53.196418,,,,,,,
Station no,RR7222,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.17,,,1.10,,
February,,,,,,,2.18,,,0.75,,
March,,,,,,,1.23,,,3.42,,
April,,,,,,,0.63,,,1.41,,
May,,,,,,,1.29,,,1.55,,
June,,,,,,,1.56,,,4.32,,
July,,,,,,,0.54,,,4.20,,
August,,,,,,,0.94,,,3.59,,
September,,,,,,,0.61,,2.08,3.21,,
October,,,,,,,5.02,,0.73,3.54,,
November,,,,,,,2.49,,1.23,0.41,,
December,,,,,,,2.58,,1.65,4.85,,
Total,,,,,,,22.24,,,32.35,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,22.24,0.00,5.69,32.35,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,NaN,NaN,0.00,,
