OLLERTON-EDWINSTOWE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK625670,Long,-1.0659198,Lat,53.196418,Elevation,220,ft,,,,,,,,,,,,
Station no,RR7222,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,3.17,,,1.1,2.22,1.31,,,,,,,,
February,,,,,,,2.18,,,0.75,2.95,1.44,,,,,,,,
March,,,,,,,1.23,,,3.42,0.81,,,,,,,,,
April,,,,,,,0.63,,,1.41,1.95,,,,,,,,,
May,,,,,,,1.29,,,1.55,2.31,,,,,,,,,
June,,,,,,,1.56,,,4.32,2.13,,,,,,,,,
July,,,,,,,0.54,,,4.2,1.63,,,,,,,,,
August,,,,,,,0.94,,,3.59,3.49,,,,,,,,,
September,,,,,,,0.61,,2.08,3.21,0.71,,,,,,,,,
October,,,,,,,5.02,,0.73,3.54,2.39,,,,,,,,,
November,,,,,,,2.49,,1.23,0.41,3.37,,,,,,,,,
December,,,,,,,2.58,,1.65,4.85,5.1,,,,,,,,,
Total,,,,,,,22.24,,,32.35,29.06,,,,,,,,,
