"HERTFORD (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,TL338134,Long,-0.060868,Lat,51.803241,,,,,,,
Station no,954,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.55,1.85,1.10,1.03,2.16,3.45,0.83,2.25,2.25,2.20,,
February,4.60,0.54,1.90,2.21,1.63,0.46,2.73,2.71,0.08,1.66,,
March,3.10,2.40,0.44,2.22,0.96,0.75,1.20,1.06,2.00,1.01,,
April,2.84,1.57,2.50,0.27,0.37,1.00,0.27,1.26,2.34,0.53,,
May,2.38,1.14,1.39,1.96,4.21,0.33,0.68,2.57,0.87,1.11,,
June,1.22,1.55,1.58,4.43,2.10,2.89,2.04,5.24,1.44,1.44,,
July,0.82,0.56,3.03,2.14,0.13,3.24,3.28,3.05,2.54,2.80,,
August,4.24,4.73,1.64,2.89,1.34,4.92,1.65,3.21,1.39,2.39,,
September,3.35,2.44,1.91,1.41,1.53,1.67,2.83,3.09,0.09,4.34,,
October,0.76,2.38,2.91,1.90,4.07,1.77,1.82,2.92,1.97,5.43,,
November,4.35,3.88,1.28,4.06,0.84,0.66,2.09,1.86,2.44,3.44,,
December,2.01,2.53,0.52,1.56,1.90,3.33,2.05,2.68,4.27,2.88,,
Total,32.22,25.57,20.20,26.08,21.24,24.47,21.47,31.90,21.68,29.23,,
Calc annual,32.22,25.57,20.20,26.08,21.24,24.47,21.47,31.90,21.68,29.23,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
