"HERTFORD, SEWAGE WORKS",,,,,,,,,,,,
Grid ref,TL338133,Long,-0.060907,Lat,51.802342,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.86,0.64,0.48,1.82,2.30,1.15,3.05,0.90,0.72,0.53,,
February,3.63,1.18,1.00,0.80,2.90,0.84,1.58,1.06,0.91,0.46,,
March,0.63,1.81,1.28,2.52,1.10,2.49,1.16,0.79,2.46,2.05,,
April,1.31,1.55,0.48,1.17,0.58,1.51,0.34,2.56,2.27,1.70,,
May,1.00,1.26,1.96,2.55,1.38,1.29,0.72,1.64,1.62,1.07,,
June,2.32,0.85,2.59,5.11,0.88,3.10,2.61,1.80,0.97,3.85,,
July,0.96,1.53,1.40,4.60,2.40,2.06,1.17,1.57,2.40,2.66,,
August,2.76,1.68,3.14,3.90,2.51,2.68,0.69,1.52,2.81,1.36,,
September,0.47,1.31,1.95,2.21,1.50,1.28,1.12,0.39,1.41,1.55,,
October,1.85,1.54,1.02,5.79,1.16,1.18,4.23,3.13,1.34,3.14,,
November,1.71,0.60,1.33,1.76,1.48,2.41,3.38,1.91,0.90,0.71,,
December,2.43,3.58,1.18,1.48,1.57,0.73,1.80,2.76,1.73,2.52,,
Total,21.93,17.53,17.81,33.71,19.76,20.72,21.85,20.03,19.54,21.60,,
Calc annual,21.93,17.53,17.81,33.71,19.76,20.72,21.85,20.03,19.54,21.60,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
