HIGH-WYCOMBE-PANN-MILL-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU870927,Long,-0.74455861,Lat,51.626401,Elevation,219,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,999/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.96,4.83,4.63,3.59,5.41,2.54,2.76,3.82,4.85,2.07,1.98,2.43,2.22,5.95,1.19,0.84,3.97,2.03,1.11,1.12,2.74,4.16,1.92,3.31,3.91,3.14
February,,,,,2.49,2.11,4.87,0.65,1.47,2.44,2.73,0.92,1.22,1.48,2.31,2.68,1.4,1.5,1.57,4.55,5.49,0.72,2.22,2.53,1.68,0.31,3.32,3.73,0.06,2.95
March,,,,,0.61,1.71,3.29,0.38,1.62,2.4,2.72,1.98,0.53,0.23,0.74,1.21,5.69,0.76,1.59,0.86,3.95,2.84,0.53,2.78,1.35,0.92,1.72,2.04,2.69,1.27
April,,,,,3.75,1.52,2.81,0.06,3.33,1.94,1.78,1.52,0.99,1.7,1.3,1.77,1.95,1.31,1.28,2.21,3.25,1.85,2.55,0.39,0.6,1.53,0.38,1.38,2.46,0.79
May,,,,,1.07,0.59,3.26,2.07,1.79,1.49,1.63,3.13,2.71,0.77,2.4,4.07,1.63,2.86,2.64,1.82,2.21,3.07,1.85,3.96,4.56,0.22,1.47,2.21,0.63,1.81
June,,,,,3.96,3.4,1.66,0.5,1.46,0.38,1.45,0.45,1.67,1.58,2.78,2.85,1.57,2.74,0.58,1.18,1.17,1.08,2.21,3.65,2.7,2.56,1.65,3.89,2.29,1.8
July,,,,,0.61,4.38,1.01,1.43,2.91,2.05,6.76,1.81,1.79,1.88,2.07,1.61,1.57,1.25,2.31,5.17,0.96,0.47,3.64,2.87,0.31,2.31,3.16,2.13,3.25,3.22
August,,,,,2.16,0.45,1.19,2.86,2.5,0.08,4.25,2.74,1.67,2.26,1.45,4.65,0.21,3.85,1.23,3.75,4.13,4.06,2.43,4.29,0.47,4.21,2.69,3.11,2.75,3.77
September,,,,,4.96,4.35,3.55,1.58,0.58,1.45,0.19,1.47,1.52,3.22,2.01,4.3,1.53,3.36,1.06,3.71,3.52,2.99,2.7,2.29,2.33,3.08,3.3,5.21,0.09,4.01
October,,,,,3.15,1.86,2.19,3.41,4.19,3.31,0.84,3.74,3.34,3.81,3.46,1.18,0.24,2.7,6.94,0.65,1.11,3.25,2.78,2.27,2.88,1.62,2.39,3.41,3.1,6.75
November,,,,,4.45,3.61,1.62,3.65,5.65,7.6,2.99,1.32,1.69,4.82,0.26,6.41,1.32,1.82,2.82,5.07,6.51,3.65,1.41,4.95,1.69,0.68,2.01,2.82,2.2,4.13
December,,,,,3.18,2.75,2.69,3.39,1.81,1.76,2.13,3.48,1.51,1.72,3.23,2.39,2.63,3.37,1.64,1.53,1.82,3.36,0.62,2.52,2.83,3.78,2.71,3.14,4.99,3.7
Total,,,,,31.35,31.56,32.77,23.57,32.72,27.44,30.23,26.38,23.49,25.54,23.99,35.55,21.96,31.47,24.85,31.34,38.09,29.37,24.05,33.62,24.14,25.38,26.72,36.38,28.42,37.34
