PLYMPTON-HEMERDON-(GARDEN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX572574,Long,-4.001,Lat,50.3995,Elevation,360,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,4.21,3.69,4.35,11,8.9,6.12,,1.84,10.56,4.01,11.95,0.93,4.13,2.91,5.77,6.62,3.97,5.49,4.94,1.19,,5.69,3.9,2.14,3.66,4.4,6.81,1.57,4,1.58,6.15,7.3,3.87,,,,,,,,
February,,,,,,,,,,5.81,5.79,3.18,7.86,4.8,5.9,,5.47,3.34,4.13,7.55,6.95,7.68,3.51,7.7,6.5,5.96,2.02,0.8,0.88,,1.68,0.07,3.21,6.44,2.88,0.07,0.68,4.78,2.08,5.6,7.54,1.45,,,,,,,,
March,,,,,,,,,,2.92,3.69,2.54,5.22,5.11,1.09,,6.18,4.77,2.39,0.85,2.33,6.85,2.68,1.96,5.87,2.32,4.13,2.06,4.72,,2.53,3.44,1.38,0.28,2.1,3.04,4.36,5.82,1.49,0.87,2.51,3.65,,,,,,,,
April,,,,,,,,,,2.31,0.34,7.59,2.39,0.55,2.67,,4.04,7.28,5.63,5.46,3.48,1.85,8.3,1.4,3.3,5.27,2.12,1.47,3.47,,3.01,1.72,1.39,0.85,3.53,3.08,0.48,5.03,2.46,3.91,2.3,4.57,,,,,,,,
May,,,,,,,,,,5.29,2.15,0.34,1.78,2.08,1.02,,0.22,4.72,5.17,3.96,1.9,1.5,2.23,4.6,2.09,4.39,3.21,2.2,2.43,,2.18,3.92,1.49,2.43,3.25,1.05,0.02,2.2,3.74,2.58,2.2,2.33,,,,,,,,
June,,,,,,,,,,0.11,0.32,3.07,6.74,2.04,3.11,,1.87,1.45,4.35,9.68,1.72,5.5,5.42,5.34,2.29,1.73,0.69,0.44,5.29,,4.75,3.76,1.95,1.53,2.78,2.51,2.06,2.63,2.39,2.02,4.34,2.4,,,,,,,,
July,,,,,,,,,,-999,1.83,8.36,4.03,4.47,1.86,,1.93,4.82,2.56,8.62,5.14,3.03,6.91,4.74,5.72,0.8,5.21,1.88,7.24,,6.06,3.58,1.88,6.6,4.88,4.23,1.67,0.62,0.73,2.52,1.22,1.82,,,,,,,,
August,,,,,,,,,,-999,2.5,2.92,3.18,6.53,3.28,,5.71,7.32,8,9.87,1.64,6.97,4.89,1.57,2.53,2,2.72,1.7,3.4,,2.86,9.33,4.96,2.05,3.47,3.97,2.62,6.28,3.89,1.76,3.62,3.07,,,,,,,,
September,,,,,,,,,,6.57,2.58,7.55,4.36,2.97,9.16,,6.54,3.39,3.22,6.46,6.58,4.11,4.25,9.26,5,5.45,2.18,3.47,2.76,,1.34,3.16,2.71,2.91,3.27,0.92,6.33,3.15,1.99,2.35,1.67,4.88,,,,,,,,
October,,,,,,,,,,2.91,6.37,5.13,6.49,4.28,8.45,,4.86,4.85,4.89,3.34,7.88,4.86,7.98,5.23,2.44,7.93,7.4,4.75,1.74,,1.66,10.12,5.36,4.29,6.42,4.2,3.98,1.3,6.88,3.24,2.96,2.53,,,,,,,,
November,,,,,,,,,,2.69,2.78,2.49,8.03,5.17,6.7,,6.98,9.57,4.21,0.36,5.1,7.83,7.59,7.36,3.35,4.86,4.33,4.44,9.64,,4.87,5.63,3.71,2.2,8.18,7.73,1.44,2.22,4.21,3.7,4.87,0.62,,,,,,,,
December,,,,,,,,,,4.86,3.95,5.29,8.34,2.1,6.7,,14.97,4.01,5.9,1.71,6.17,6.07,8.7,1.55,4.62,2.77,6.37,5.11,4.26,,4.74,5.31,1.98,5.18,4.37,5.88,9.87,,5.13,4.25,6.8,8.02,,,,,,,,
Total,,,,,,,,,,39.05,35.99,52.81,69.42,49,56.06,,60.61,66.08,54.46,69.81,49.82,60.38,65.37,56.48,50.33,47.45,45.87,33.26,47.02,,41.37,53.94,32.16,38.42,49.53,43.49,35.08,,36.57,38.95,47.33,39.21,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No details to locate the garden gauge exactly, but elevation, distance to walls, and being closer to the church to SW means it could have been around here",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1869 Note says “I can't help but thinking that the fact of NO rain being registered in July and but little in June while for the 2 months 1.75 is reported from Ridgeway by Miss Phillips may be attributed partly to evaporation, still the amount must have been small”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1969 July Aug bracketed with value 1.37, but note above says there was no rain in July registered, so 1.37 should be for August",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875 No observations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885 Gauge moved a few feet and raised (seemingly from 1ft to 4ft above ground),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897 Dec amount computed. The 2 records not very accordant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897 Dec value 8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
