"HONITON (FENITON COURT)",,,,,,,,,,,,
Grid ref,SY109995,Long,-3.265385,Lat,50.788198,,,,,,,
Station no,1819/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.52,3.28,0.57,2.05,5.29,3.14,3.92,3.80,5.03,3.90,,
February,6.41,0.65,2.27,3.27,2.99,0.15,5.10,3.99,0.48,4.43,,
March,4.31,2.83,0.62,3.51,1.86,1.74,3.57,1.49,4.64,3.22,,
April,1.94,3.33,3.00,0.26,1.92,1.10,0.10,0.75,3.26,3.67,,
May,2.68,3.85,2.67,2.11,2.50,0.76,2.87,3.52,1.71,1.70,,
June,1.49,2.62,2.18,3.86,3.51,1.44,3.12,3.78,1.51,0.78,,
July,1.74,1.14,2.63,2.91,2.10,3.35,2.81,2.44,2.39,4.33,,
August,4.53,3.59,2.63,3.87,0.05,4.41,2.07,3.73,1.52,3.69,,
September,4.52,3.09,3.56,3.28,0.98,6.83,3.08,4.11,0.20,5.71,,
October,1.28,5.35,3.02,2.68,2.00,1.83,2.65,2.90,3.76,10.93,,
November,9.66,3.79,2.46,9.02,6.11,1.57,2.24,3.17,7.33,4.83,,
December,4.90,3.06,1.50,4.08,5.98,7.40,4.01,5.07,8.60,4.59,,
Total,46.98,36.58,27.11,40.90,35.29,33.72,35.54,38.75,40.43,51.78,,
Calc annual,46.98,36.58,27.11,40.90,35.29,33.72,35.54,38.75,40.43,51.78,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
