HONITON-FENITON-COURT,,,,,,,,,,,,,,,,,,,,
Grid ref,SY109995,Long,-3.265385,Lat,50.788198,Elevation,229,ft,,,,,,,,,,,,
Station no,1819/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,0.65,4.04,3.16,3.18,,,,,,,
February,,,,,,,,,,2.56,1.85,0.02,2.21,,,,,,,
March,,,,,,,,,,3,1.95,2.66,0.94,,,,,,,
April,,,,,,,,,,2.16,4.56,1.44,1.4,,,,,,,
May,,,,,,,,,1.84,3.25,3.09,2.93,0.83,,,,,,,
June,,,,,,,,,3.66,1.02,3.17,1.71,1.71,,,,,,,
July,,,,,,,,,7.17,2.96,3.57,4.06,2.43,,,,,,,
August,,,,,,,,,2.27,3.96,3.21,5.32,2.97,,,,,,,
September,,,,,,,,,0.63,1.77,1.24,1.98,2.42,,,,,,,
October,,,,,,,,,1.54,4.04,1.39,8.03,4.56,,,,,,,
November,,,,,,,,,9.52,1.5,3.41,4.97,2.71,,,,,,,
December,,,,,,,,,3.32,2.41,1.95,4.11,1.58,,,,,,,
Total,,,,,,,,,,29.28,33.43,40.39,26.94,,,,,,,
