GROBY-ROAD,,,,,,,,,,
Grid ref,SJ760876,Long,-2.3622895,Lat,53.384694,Elevation,185,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,1.5,1.59
February,,,,,,,,,1.36,3.08
March,,,,,,,,,1.34,1.43
April,,,,,,,,,1.4,2.67
May,,,,,,,,,2.94,2.31
June,,,,,,,,,2.64,2.55
July,,,,,,,,,0.86,
August,,,,,,,,,4.77,
September,,,,,,,,,3.78,
October,,,,,,,,,3.62,
November,,,,,,,,,2.16,
December,,,,,,,,,2.45,
Total,,,,,,,,,28.82,
,,,,,,,,,,
NGR is on Groby Road at about the right altitude. Gauge moved about 650 m South to The Firs in 1879 with same observer.,,,,,,,,,,
