WHITSTABLE-WESTERN-HOUSE (#2 Gauge),,,,,,,,,,,,,,,,,,,,,
Grid ref,TR107661,Long,1.024699,Lat,51.354889,Elevation,17,ft,,,,,,,,,,,,,
Station no,RR4127,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,0.72,2.42,0.76,1.8,2.43,3.96,2.15,,,,,,,,,,
February,,,,,1.99,3.57,3.76,0.45,0.56,1.9,0.38,,,,,,,,,,
March,,,,,4.05,1.2,4,1.76,0.89,3.01,0.79,,,,,,,,,,
April,,,,,1.45,1.02,1.72,2.06,1.62,2.81,2.68,,,,,,,,,,
May,,,,,0.73,2.71,1.97,1.14,1.78,0.27,0.8,,,,,,,,,,
June,,,,,1.1,0.6,1.45,0.87,0.48,0.89,0.93,,,,,,,,,,
July,,,,,3.39,2.34,1.31,4.24,2.67,3.15,2.63,,,,,,,,,,
August,,,,,0.66,1.86,1.67,5.58,0.49,3.19,1.46,,,,,,,,,,
September,,,,,0.48,3.19,0.75,0.44,3.31,0.77,3.58,,,,,,,,,,
October,,,,,2.57,1.27,2.65,2.9,1.94,1.51,0.44,,,,,,,,,,
November,,,,,3.01,3.1,3.99,0.94,2.14,2.35,0.6,,,,,,,,,,
December,,,,,5.37,4.97,2.42,2.22,1.33,2.69,2.03,,,,,,,,,,
Total,,,,,25.52,28.25,26.45,24.4,19.64,26.5,18.47,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
