WING (BURCOTT LODGE FARM),,,,,,,,,,,,
Grid ref,SP876242,Long,-0.727960,Lat,51.909457,,,,,,,
Station no,1019/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.45,1.55,1.34,1.09,2.09,3.42,1.55,2.81,3.70,2.22,,
February,3.66,0.57,1.74,2.17,1.15,0.35,3.04,2.83,0.03,1.90,,
March,3.57,2.91,0.87,2.40,0.86,0.72,1.52,1.59,1.84,0.89,,
April,2.92,1.83,2.86,0.30,0.49,1.27,0.21,0.76,2.17,0.63,,
May,2.83,2.56,1.88,2.89,4.82,0.43,1.32,1.62,0.64,1.54,,
June,1.50,0.96,2.11,3.10,2.69,2.05,2.31,4.02,1.51,2.36,,
July,1.09,0.49,2.24,3.09,0.28,2.83,3.11,1.80,2.49,5.44,,
August,4.54,2.52,3.01,3.47,0.66,4.67,2.19,3.65,0.79,3.64,,
September,1.83,3.30,1.47,2.54,1.40,2.31,2.58,2.77,0.31,3.30,,
October,0.93,3.05,2.45,2.09,2.08,1.65,2.32,2.10,2.47,5.43,,
November,4.66,3.47,1.57,4.31,1.19,0.96,1.75,2.21,2.30,3.25,,
December,1.82,3.09,0.48,2.21,3.04,3.43,2.44,2.64,4.35,3.49,,
Total,31.80,26.30,22.02,29.66,20.75,24.09,24.34,28.80,22.60,34.09,,
Calc annual,31.80,26.30,22.02,29.66,20.75,24.09,24.34,28.80,22.60,34.09,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
