"GREAT MALVERN, DAVENHAM BANK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO778468,Long,-2.3256436,Lat,52.119066,Elevation,324,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,2.21,0.54,1.55,2.69,1.72,1.85,1.85,,,,,,,,,,,,,,,,0.93,2.54,0.84,4.43,3.56,0.82,,,,,
February,,,,,,,,0.35,0.73,0.12,0.64,0.1,1.49,2.83,,,,,,,,,,,,,,,,0.54,2.95,1.53,1.84,0.88,1.71,,,,,
March,,,,,,,,1.33,2.57,2.75,1.08,1.56,0.91,0.46,,,,,,,,,,,,,,,,2.75,0.82,2.14,3.52,4.58,2.7,,,,,
April,,,,,,,,1.09,0.96,4.62,1.24,1.68,1.1,0.16,,,,,,,,,,,,,,,3.15,2.1,2.15,1.1,0.13,3.42,1.4,,,,,
May,,,,,,,,2.17,0.92,3.18,2.31,3.63,1.93,1.66,,,,,,,,,,,,,,,3.17,1.18,1.56,1.14,2.41,2.62,1.48,,,,,
June,,,,,,,,1.52,2.29,0.34,1.68,2.75,2.25,1.1,,,,,,,,,,,,,,,,3.77,2.98,1.7,4.99,0.67,2.91,,,,,
July,,,,,,,,0.82,5.41,2.58,2.49,1.86,2.66,2.25,,,,,,,,,,,,,,,,2.72,1.66,0.24,3.6,0.87,3.98,,,,,
August,,,,,,,,1.29,1.87,2.38,2.24,5.47,2.24,1.85,,,,,,,,,,,,,,,,1.86,5.74,1.29,8.73,1.95,1.25,,,,,
September,,,,,,,,1.28,0.78,1.44,1.47,0.8,3.38,1.14,,,,,,,,,,,,,,,,3.41,0.68,1.49,0.73,3.63,1.21,,,,,
October,,,,,,,,3.02,0.29,2.5,0.91,6.95,1.61,2.12,,,,,,,,,,,,,,,,3.04,3.6,1.69,3.08,4.76,1.63,,,,,
November,,,,,,,,1.87,6.48,0.97,1.61,2.99,2.44,1.41,,,,,,,,,,,,,,,,0.79,3.86,2.65,1.48,2.97,2.63,,,,,
December,,,,,,,,1.51,1.53,1.7,1,3.76,0.85,3.01,,,,,,,,,,,,,,,,3.52,4.35,5.42,2.99,0.96,5.31,,,,,
Total,,,,,,,,18.46,24.37,24.13,19.36,33.27,22.71,19.84,,,,,,,,,,,,,,,23.81,26.61,32.89,21.23,37.93,30.87,27.03,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 2 months and a total; latter seems reasonable for the year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
