LITTON-CHENEY-PRIMARY-SCHOOL,,,,,,,,,,
Grid ref,SY550902,Long,-2.63768,Lat,50.70993,Elevation,190,ft,,
Station no,1573/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.31,3.42,3.54,4.73,4.07
February,,,,,,0.16,4.33,3.45,0.54,3.81
March,,,,,,0.99,3.45,1.48,4.92,3.16
April,,,,,,1.16,0.41,0.79,2.53,3
May,,,,,,0.81,1.74,2.93,1.08,1.87
June,,,,,,2.7,1.77,3.75,1.23,1.5
July,,,,,,2.52,3.67,2.68,2.12,3.53
August,,,,,,4.38,2.76,3.48,2.11,6.33
September,,,,,,6.26,3.33,5.45,0.73,5.77
October,,,,,,2.37,3.12,3.63,3.54,10.57
November,,,,,,0.91,2.9,3.32,3.76,5.7
December,,,,,,6.43,2.94,5.73,8.69,4.59
Total,,,,,,34,33.84,40.23,35.98,53.9
,,,,,,,,,,
1959 No complete daily record Listed as read monthly with no monthly values in brackets,,,,,,,,,,
1960 Apr 29 Inspection O/E SSE-W Recommend site 30-40 yds NNE where satisfactory,,,,,,,,,,
,,,,,,,,,,
SRC_ID 8026,,,,,,,,,,
1956-1977,,,,,,,,,,
