ACKLETON-MIX-ACKLETON-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO772988,Long,-2.337956,Lat,52.586522,Elevation,230,ft.,,,,,,,,,,,,,
Station no,2294,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.64,1.88,2.39,2.24,3.67,1.37,4.25,1.43,2.23,1.75,2.18,0.98,,,,,
February,,,,,0.49,3.34,1.73,1.79,1.52,0.48,0.36,2.07,0.07,3.53,0.26,1.76,,,,,
March,,,,,1.05,0.76,0.64,1.96,1.87,0.21,2.81,0.17,1.95,2.34,2,0.81,,,,,
April,,,,,3.01,1.59,1.49,1.56,1.33,0.66,2.23,4.51,3.33,0.85,2.44,3.26,,,,,
May,,,,,4.39,2.8,2.91,1.48,0.82,2.02,2.16,4.74,5.05,1.33,0.95,1.24,,,,,
June,,,,,2.54,0.03,1.22,4.17,3.34,2.01,0.5,4.72,0.74,2.07,1.37,3.06,,,,,
July,,,,,4.1,2.65,1.91,2.34,1.11,2.18,4.97,3.85,4.63,2.28,1.37,,,,,,
August,,,,,3.66,2.23,3.08,4.49,3.08,1.43,2.26,5.7,2.62,1.09,1.94,,,,,,
September,,,,1.74,2.71,3.8,0.84,3.43,1,0.67,2.93,2.06,2.02,0.5,1.31,,,,,,
October,,,,3.76,3.8,3.25,2.17,1.89,4.38,3.52,3.11,0.93,3.66,4.56,1.79,,,,,,
November,,,,1.49,1.72,1.67,5.04,3.77,3.42,5.39,2.83,3.81,1.75,0.82,2.07,,,,,,
December,,,,3.14,3.18,2.21,0.54,1.75,1.68,4.96,2.93,1.02,0.84,0.42,3.95,,,,,,
Total,,,,,33.29,26.21,23.96,30.87,27.22,24.9,31.34,35.01,28.89,21.54,21.63,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,
NGR is Ackleton House,,,,,,,,,,,,,,,,,,,,,
"The Folley and House records overlap and and 8 of the readings are exact matches but over an 8 year period,so probably not suspicious. The February 1932 reading for the House lloks low when compared to the Folley",,,,,,,,,,,,,,,,,,,,,
