"ACKLETON (THE FOLLEY)",,,,,,,,,,,,
Grid ref,SO771978,Long,-2.339362,Lat,52.577528,,,,,,,
Station no,RR2017,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.04,2.10,0.73,1.39,2.19,3.35,1.41,1.85,2.77,5.49,,
February,2.12,0.48,1.68,2.05,1.45,0.61,2.24,3.69,0.24,2.86,,
March,4.57,1.77,0.88,2.04,3.02,1.12,2.03,1.06,2.25,1.37,,
April,2.06,2.31,2.74,0.56,1.34,1.97,0.18,0.60,3.56,1.17,,
May,3.54,2.71,2.02,3.02,4.74,0.62,1.37,1.92,1.04,2.05,,
June,0.92,2.23,2.38,2.71,2.60,1.91,2.20,3.73,2.12,2.34,,
July,1.34,1.05,2.64,2.32,2.90,2.66,3.95,3.57,1.61,3.11,,
August,3.70,3.10,2.73,3.68,0.93,3.89,3.65,2.73,1.17,2.87,,
September,1.81,1.59,2.59,2.57,2.06,2.56,3.81,4.17,0.14,5.46,,
October,1.06,3.90,1.72,2.96,1.48,2.27,1.85,2.96,2.36,5.26,,
November,6.17,2.32,1.70,6.03,2.00,0.72,2.31,1.80,3.46,4.66,,
December,2.57,2.79,1.22,2.12,2.32,2.38,1.32,2.31,4.76,3.04,,
Total,31.90,26.35,23.03,31.45,27.03,24.06,26.32,30.39,25.48,39.68,,
Calc annual,31.90,26.35,23.03,31.45,27.03,24.06,26.32,30.39,25.48,39.68,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
