"DUNDALK FARNDREG",,,,,,,,,,,,
Grid ref,IJ0349007896,Long,-6.421974,Lat,54.010079,,,,,,,
Station no,RR1204,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.37,3.59,1.82,3.48,3.05,2.17,4.01,0.94,2.17,3.53,,
February,2.06,1.12,2.74,2.56,3.13,1.39,2.63,1.95,2.14,1.07,,
March,0.69,2.92,1.54,4.56,1.91,4.22,1.76,2.55,3.49,2.55,,
April,2.07,1.82,2.53,1.03,1.82,1.58,1.04,2.49,2.07,4.47,,
May,1.93,2.66,3.00,3.41,1.65,1.18,4.10,3.48,1.89,2.57,,
June,3.29,2.00,3.42,1.55,2.07,1.79,1.85,3.97,1.38,1.42,,
July,2.59,1.14,2.49,4.08,3.45,1.55,2.29,2.52,4.43,2.70,,
August,4.43,3.07,2.35,5.02,3.89,6.82,4.18,3.07,1.70,1.67,,
September,0.80,2.65,2.77,3.97,2.89,1.28,1.11,0.87,3.28,2.90,,
October,3.77,3.12,1.76,3.52,0.82,0.92,3.98,5.39,3.12,2.93,,
November,3.86,3.13,2.79,1.70,2.24,2.98,2.34,2.45,2.20,1.28,,
December,2.63,2.78,2.73,3.51,2.18,1.75,2.60,2.77,2.93,3.80,,
Total,30.49,30.00,29.94,38.39,29.10,27.63,31.89,32.45,30.80,30.89,,
Calc annual,30.49,30.00,29.94,38.39,29.10,27.63,31.89,32.45,30.80,30.89,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
