DUNDALK FARNDREG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ0349007896,Long,-6.421974,Lat,54.010079,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,4.92,1.35,5.82,3.12,3.06,0.68,0.36,1.93,3.77,4.52,2.21,2.7,1.94,1.26,2.46,3.12,1.27,2.11,2.36,2.54,1.84,1.7,1.86,1.85,3.04,2.37,,1.82,3.48,3.05,2.17,4.01,0.94,2.17,3.53,2.61,1.61,3.99,,,,,,,
February,,,,,,1.14,4.08,2.02,1.43,2.24,2.27,4.1,2.66,2.43,3.11,2.28,2.81,0.83,0.45,2.71,1.44,0.29,1.75,2.91,3.52,1.27,1.49,1.61,1.97,0.65,2.06,,2.74,2.56,3.13,1.39,2.63,1.95,2.14,1.07,2.95,2.58,2.88,,,,,,,
March,,,,,,1.01,2.83,2.59,1.38,1.43,3.23,2.82,2.3,1.47,2.06,1.36,2.88,1.19,2.88,2.03,2.29,0.96,0.3,0.84,1.22,2.67,3.43,4.04,0.81,1.42,0.69,,1.54,4.56,1.91,4.22,1.76,2.55,3.49,2.55,1.63,0.79,4.5,,,,,,,
April,,,,,,0.36,1.43,3.63,2.27,1.29,3.35,2.65,4.4,1.58,1.93,2.72,0.92,1.49,1.64,3.37,1.6,3.88,0.81,1.25,3.07,2.28,0.9,3.42,2.61,3.02,2.07,,2.53,1.03,1.82,1.58,1.04,2.49,2.07,4.47,1.49,2.31,1,,,,,,,
May,,,,,,1.47,0.78,2.43,4.61,4.36,0.4,2.74,2.57,1.22,1.52,1.69,,1.11,1.92,4.02,1.82,2.45,4.08,1.75,2.27,0.28,0.46,1.21,3.14,4.33,1.93,,3,3.41,1.65,1.18,4.1,3.48,1.89,2.57,2.59,1.4,2.12,,,,,,,
June,,,,,,3.46,1.59,2.59,3.33,5.77,3.74,4.82,2.98,2.42,0.36,0.67,1.3,0.49,3.95,0.08,2.17,3.01,1.74,1.37,2.37,2.09,2.94,5.82,2.63,3.49,3.29,,3.42,1.55,2.07,1.79,1.85,3.97,1.38,1.42,4.52,2.01,3.03,,,,,,,
July,,,,,,2.81,0.56,3.02,0.82,5.96,3.47,1.62,4.89,2.63,3.91,1.51,2.76,3.46,4.23,2.5,2.58,1.98,3.25,2.11,4.16,4.84,5.74,1.64,0.78,2.31,2.59,,2.49,4.08,3.45,1.55,2.29,2.52,4.43,2.7,1.64,2.49,3.37,,,,,,,
August,,,,,,2.96,2.07,3.04,2.74,2.62,0.74,5.43,2.77,2.65,1.07,1.23,1.07,2.1,3.22,7,3.44,5.85,8.51,4.22,2.17,7.59,0.97,4.03,5.26,2.46,4.43,,2.35,5.02,3.89,6.82,4.18,3.07,-999,1.67,5.51,2.48,4.39,,,,,,,
September,,,,,,4.95,3.3,1.84,3.25,5.17,2.55,1.58,3.33,3.58,2.05,4.45,2.55,2.52,0.74,1.68,2.58,2.16,3.35,1.01,0.09,0.45,7.2,1.96,2.96,3.06,0.8,,2.77,3.97,2.89,1.28,1.11,0.87,-999,2.9,0.24,1.06,0.27,,,,,,,
October,,,,,,6.46,-999,2.8,1.82,1.63,1.43,3.27,2.52,2.07,1.14,2.37,4.12,1.34,0.73,4.54,1.44,3.17,2.66,2.02,4.32,2.16,1.47,1.99,4.21,1.49,3.77,,1.76,3.52,0.82,0.92,3.98,5.39,3.12,2.93,1.89,3.81,0.8,,,,,,,
