FILEY - ROSEDALE RESERVOIR - Early Gauge,,,,,,,,,,,
Grid ref,TA114766,Long,-0.295,Lat,54.173,Elevation,183,ft,,,
Station no,3406/7,,,,,,,,,,
,,,,,,,,,,,
,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875
January,1.38,1.22,1.84,1.58,2.29,1.28,0.85,3.25,1.98,1.33,2.66
February,1.11,1.63,0.77,1.30,1.92,1.98,1.43,2.70,1.37,1.01,0.56
March,1.72,1.43,1.17,1.34,1.37,1.50,0.79,2.21,2.12,0.61,0.63
April,0.79,1.71,1.52,1.10,1.21,0.51,2.80,2.29,0.93,1.16,0.62
May,2.14,1.13,1.25,0.87,3.16,0.53,1.93,1.68,1.70,3.22,0.89
June,0.65,2.06,1.53,0.49,0.40,2.15,2.53,3.07,1.67,0.33,2.39
July,2.80,2.84,4.64,0.67,0.18,0.65,4.25,3.98,2.51,1.38,5.76
August,3.78,4.48,2.35,2.22,0.54,1.85,0.64,5.13,2.13,1.81,1.31
September,0.43,3.43,2.21,1.98,2.77,0.59,4.93,6.86,2.69,1.54,2.04
October,4.52,2.20,2.67,2.87,1.96,4.57,2.01,4.62,2.13,1.94,4.48
November,2.74,2.32,0.99,1.34,2.48,2.61,2.56,6.68,1.46,3.72,6.61
December,1.38,1.26,2.62,7.21,3.64,3.90,1.56,4.34,0.38,2.95,1.80
Total,23.44,25.71,23.56,22.97,21.92,22.12,26.28,46.81,21.07,21.00,29.75
,,,,,,,,,,,
TYRain_1860-1869_05_pt1/177,,,,,,,,,,,
TYRain_1870-1879_08_pt3/004,,,,,,,,,,,
