BRADFORD NANS SCAR OXENHOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE034333,Long,-1.949866,Lat,53.795998,Elevation,1101,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.72,3.21,6.08,1.74,0.61,0.46,4.88,4.75,4.65,3.75,6.22,2.11,1.97,2.9,7.35,3.78,5.5,1.6,6.62,3.79,2.75,2.15,5.5,9.75,6,3.5,3.1,5.42,5.45,2.9,8.3,2.43,4.88,3.62,6.61,2.66,5.67,5.16,5.2,7.61,5.91,2.24,3.56,5.98,5.69,9.86,4.85,5.46,3.85,6.94,6.45,5.05,13.94,2.1,7.72,5.43,6.08,2.95,3.98,2.22,5.47,5.46,6.58,7.25,2.64,3.4,4.5,6.02,8.98,4.42,5.85,4.53,12.13,2.95,3.45,5.35,5.86,1.93,4.13,2.89,7.24,5.18,4.94,4.15,6.14
February,,,,,,,6.16,2.92,2.22,2.81,4.92,4.86,3.65,3.32,2.3,4.24,2.1,1.02,0.54,3.1,0.85,1,3.54,6.13,10.26,0.68,2.24,4.35,5.91,2.66,4.5,1.6,2.25,7.3,4.55,3.4,3.64,3.24,3.74,3.8,6.54,7.1,2.88,2.46,4.27,5.64,6.05,0.9,8.06,1.63,4.85,0.51,5.75,7.35,1.46,8.94,4.96,2.32,7.17,0.96,1.24,6.41,0.22,3.23,0.43,7.33,2.55,6.37,2.22,5.96,2.94,5.67,1.87,3.09,2.4,6.45,7.4,3.15,4.98,4.75,7.45,4.36,1.63,2.24,4.81,2.74,2.2,3.89,8.45,0.68,4.75
March,,,,,,,6,2.95,3.46,2.46,3.68,6.8,5.14,0.76,2.18,2.98,4.18,2.42,3.9,3.25,4.66,2.8,1.09,1.45,4.79,4.29,7.3,7.09,1.8,3.35,0.91,4.7,3,7.6,2.9,4.64,3.62,4.5,4.79,3.6,1.08,2.72,6.3,6.92,6.63,1.54,3.31,3.17,2.19,5.2,3.97,4.14,3.92,2.78,1.77,1.68,3.13,5.38,3.46,0.98,3.28,0.39,2.92,2.9,3.27,2.5,2.79,2.35,1.41,3.46,3.65,4.34,3.12,1.35,0.45,1.85,1.63,7.95,2.58,1.83,2.99,5.69,3.1,2.34,3.18,2.67,2.51,4.09,3.21,2.15,2.19
April,,,,,,,3.39,2.46,2.19,3.05,2.21,1.92,5.2,2.44,1.3,2.71,3.76,1.39,3.76,4.51,1.82,2.81,2,0.91,2.5,3.28,3.05,3.78,4.03,4.15,2.75,3.75,2.3,3.35,3.3,3.65,2.2,3.42,3,4.5,4.25,2.26,1.38,4.72,2.39,2.32,3.98,2.55,1.11,2.39,5.47,1.67,4.04,3.71,2.67,3.5,2.11,3.98,1.22,1.43,3.26,4.25,4.34,2.2,2.98,4.71,1.65,2.85,0.7,1.84,3.76,2.62,2.49,2.51,4.3,3.3,2.03,5.06,3.51,5.4,4.78,2.63,3.29,3.55,0.86,1.6,3.71,0.43,1.65,4.75,3.24
May,,,,,,,1.02,2.51,5.46,1.22,2.9,2.6,1.92,0.9,1.62,3.35,5.12,2.14,1.72,2.34,3.86,4,4.98,2.49,2.89,0.68,0.91,2.68,3.63,3.3,2.17,1.45,3.75,3.8,3.27,0.93,4.23,3.89,2.81,3.1,3.13,1.64,3.58,4.07,2.17,2.12,2.95,2.37,3.43,2.55,5.69,2.45,1.47,5.12,5.56,5.64,4.2,1.67,2.23,2.83,1.93,3.78,4.77,2.54,2.63,0.73,1.65,3.1,4.4,1.22,1.33,2.9,5.03,3.36,3.3,4.15,2.08,4.4,1.49,3.51,2.75,4.87,2.87,2.4,3.26,3.82,2.13,1.58,6.47,1.78,2.13
June,,,,,,,3.11,,3.3,5.19,4.9,2.4,4,2.9,0.79,3.45,2.54,0.26,3.66,0.87,4.51,1.94,4.06,2.96,4.08,2.36,4.75,4.25,3.82,2.28,4.65,1.85,1.95,1.69,1.96,3.4,1.39,7.11,2.56,2.74,3.18,4.82,,2.69,2.4,0.75,3.02,2.54,2.22,1.53,2.75,0.21,2.66,1.07,2.77,0.06,3.11,4.34,6.85,1.6,1.97,6.48,0.89,2.29,2.69,3.7,4.53,2.55,5.24,3.29,0.63,0.56,1.47,4.45,3.5,4.77,3.59,3.15,5.75,0.61,2.11,1.32,3.53,3.9,2.63,3.16,5.05,2.7,5.51,4.55,1.44
July,,,,,,,3.16,5.34,0.88,5.76,3.8,5.37,4.1,2.53,3.35,2,6.09,2.56,6.65,3.03,3.95,3.19,3.69,4.5,4.23,8.15,2.05,2.15,1.62,2.25,1.5,2.1,4.05,5.63,2.1,2.4,3.17,3.69,5.29,5.9,4.7,0.84,6.15,1.57,3.29,5.72,3.05,2.61,5.31,3.02,8.08,2.81,5.4,4.84,4.78,1.54,2.88,3.16,1.45,2.73,6.56,5.27,5,2.69,2.72,2.12,4.11,3.14,4.79,6.54,3.78,1.54,4.22,2.88,4.67,2.74,4.36,2.75,1.68,3.92,4.45,3.47,2.12,5.6,4.68,0.7,6.62,5.32,4.52,3.57,7.17
August,,,,,,,3.48,5.51,1.62,6.21,2.03,4.64,1.82,1.53,0.8,2.13,1.97,2.12,4.81,6.06,7.05,8.71,4.72,4.1,5.59,6.35,2.75,5.2,6.2,1.8,5.25,3.35,4.1,5.7,5.2,7,4.98,4.26,3.38,3.61,6.15,2.6,7.23,1.62,3.16,6.29,2.62,6.96,3.06,3.91,2.17,7.12,7.39,5.5,5.29,4.44,3.4,7.68,5.46,4.21,6.57,5.26,1.64,1.2,3.65,1.82,3.05,2.19,6.03,4.41,1.83,6.58,5.08,6.25,3.91,4.95,7.6,0.51,5.15,3.37,6.89,5.16,6.45,5.77,9.45,1.31,9.45,6.45,4.99,1.46,4.82
September,,,,,,,4.22,4.28,5.94,2.71,4.06,2.8,0.96,4.1,1.35,6.51,3.91,5.36,1.73,2.96,2.99,4.25,2.35,5.05,0.52,2.23,8.5,5.45,1.42,7.5,1.7,1.45,2.6,6.55,1.4,2.8,1.42,1,3.68,4,0.45,3.72,2.49,2.16,3.13,0.65,2.88,2.39,7.72,2.13,2.02,1.99,5.32,5.78,5.02,3.58,3.33,5.73,0.66,1.68,5.55,4.74,5.34,2.27,3.13,7.59,5.02,1.87,2.64,1.96,4.33,0.55,2.95,5.7,8.1,3.6,8.4,3.25,3.53,1.3,7.88,3.26,5.1,4.8,6.2,2.3,5.75,6.1,4.52,0.38,3.09
October,,,,,,,2.53,7.28,5.22,3.6,4.2,4.15,3.1,3.45,1.55,7.64,6.45,3.26,2.53,6.25,3.85,5.9,8.43,5.44,6.56,5.09,6.13,2.1,7.08,3.5,6.7,3.45,5.8,14.18,2.25,4.2,7.94,6.35,2.26,5.1,4.56,4.82,5.41,2.65,3.08,2.08,10.5,9.16,3.72,2.62,2.62,3.16,1.21,6.1,5.36,6.43,4.32,6.08,7.08,5.6,6.49,3.2,7.94,5.23,5.42,10.37,5.23,2.92,11.32,3.26,4.87,5.74,6.9,3.08,5.6,7.3,1.1,1.57,2.45,5.62,3.21,1.78,5.76,2.7,9.25,3.29,2.53,6.89,4.57,6.52,6.19
