"KIRKSTONE PASS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,23.75,,,,,,
February,,,,,,4.25,,,,,,
March,,,,,,2.75,,,,,,
April,,,,,,3.25,,,,,,
May,,,,,,5.25,,,,,,
June,,,,,,8.00,,,,,,
July,,,,,,6.00,,,,,,
August,,,,,,7.50,,,,,,
September,,,,,,11.50,,,,,,
October,,,,,,10.50,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,82.75,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
