"GRASMERE EASEDALE TARN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,8.50,7.75,19.25,21.00,14.00,24.00,7.75,18.25,14.00,3.00,,
February,10.50,11.75,11.75,2.00,5.50,2.50,11.50,10.00,7.75,6.00,,
March,4.50,7.00,9.00,3.75,9.50,3.00,9.25,5.50,5.00,8.00,,
April,4.00,5.00,3.25,1.00,3.25,2.50,6.00,4.00,3.75,2.75,,
May,9.50,2.25,4.75,4.50,1.75,4.00,1.00,6.25,7.00,2.00,,
June,3.25,2.75,9.00,5.75,2.00,8.00,5.50,6.75,4.00,9.00,,
July,1.25,10.75,7.00,12.00,5.50,4.25,5.00,11.00,1.50,10.00,,
August,4.00,7.50,9.00,13.50,15.50,6.75,10.00,10.50,8.00,,,
September,9.75,5.00,17.75,10.25,13.50,11.25,7.75,6.00,10.50,,,
October,21.00,11.25,15.50,15.00,23.00,8.50,7.00,17.50,14.75,6.50,,
November,7.00,5.00,14.00,8.00,8.75,9.75,7.25,21.50,3.50,2.75,,
December,5.25,16.00,12.25,7.25,5.50,9.75,13.50,12.75,4.75,8.00,,
Total,88.50,92.00,132.50,104.00,107.75,94.25,91.50,130.00,84.50,,,
Calc annual,88.50,92.00,132.50,104.00,107.75,94.25,91.50,130.00,84.50,58.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
