"BECKENHAM PARKSIDE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,1.48,2.51,4.77,3.06,1.06,,,,,,,
February,1.08,1.03,0.94,1.92,1.56,,,,,,,
March,2.17,1.24,2.14,1.47,0.62,,,,,,,
April,0.41,3.19,1.47,0.99,1.60,,,,,,,
May,0.70,0.79,3.75,1.53,0.53,,,,,,,
June,0.42,3.25,1.58,2.99,2.41,,,,,,,
July,2.06,3.16,2.32,2.01,1.30,,,,,,,
August,1.83,0.90,2.40,2.95,2.32,,,,,,,
September,1.81,5.35,1.46,2.14,2.67,,,,,,,
October,3.52,0.81,4.93,3.17,,,,,,,,
November,1.28,0.54,3.27,2.78,,,,,,,,
December,2.92,1.37,4.33,0.38,,,,,,,,
Total,19.68,24.14,33.36,25.39,,,,,,,,
Calc annual,19.68,24.14,33.36,25.39,14.07,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
