"CHATHAM",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,,,5.14,1.20,1.96,,
February,,,,,,,,1.22,1.06,2.66,,
March,,,,,,,,2.51,0.87,0.77,,
April,,,,,,,,2.53,1.97,2.08,,
May,,,,,,,,1.39,3.46,1.73,,
June,,,,,,,,0.94,0.69,2.92,,
July,,,,,,,,2.99,1.49,2.62,,
August,,,,,,,,2.01,5.06,3.08,,
September,,,,,,,,0.44,0.88,2.51,,
October,,,,,,,,1.51,2.35,0.55,,
November,,,,,,,,3.47,4.08,0.69,,
December,,,,,,,,1.89,1.68,0.90,,
Total,,,,,,,,26.04,24.79,22.47,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.04,24.79,22.47,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
