"MARKET DRAYTON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,1.96,0.33,4.36,2.14,1.94,3.52,,,,,,
February,1.04,2.48,2.62,0.55,2.38,1.21,,,,,,
March,1.70,1.17,2.30,3.31,1.16,0.54,,,,,,
April,1.75,3.38,2.71,0.80,1.29,0.58,,,,,,
May,,1.71,2.38,2.26,1.79,2.01,,,,,,
June,0.65,2.54,5.64,2.39,0.48,2.23,,,,,,
July,0.96,4.01,3.57,2.89,1.15,4.47,,,,,,
August,1.28,1.76,3.43,2.07,3.37,3.43,,,,,,
September,1.10,4.82,3.76,2.25,3.19,3.57,,,,,,
October,4.22,4.50,5.34,3.41,2.26,3.70,,,,,,
November,2.61,1.10,3.34,1.40,3.81,,,,,,,
December,2.35,1.54,3.64,0.66,2.50,,,,,,,
Total,,29.34,43.09,24.13,25.32,,,,,,,
Calc annual,19.62,29.34,43.09,24.13,25.32,25.26,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
