"DUNDEE EASTERN NECROPOLIS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,1.70,0.90,3.75,2.80,2.10,4.15,0.95,4.30,1.75,2.05,,
February,2.10,4.20,6.15,0.80,0.75,1.50,3.20,1.55,1.60,3.70,,
March,0.80,0.75,2.65,1.90,0.95,1.80,2.40,2.50,0.80,3.05,,
April,0.30,6.10,1.70,0.10,0.80,0.65,4.30,2.65,2.00,2.60,,
May,1.15,0.85,2.85,3.30,2.75,0.85,0.40,2.40,2.60,2.25,,
June,1.55,1.80,4.30,1.25,0.75,3.55,3.15,2.70,2.80,4.75,,
July,1.25,3.00,2.15,5.10,2.70,2.35,1.80,4.60,1.00,3.95,,
August,1.40,1.75,2.70,3.00,5.55,1.45,2.40,7.05,3.15,4.25,,
September,2.65,1.95,4.65,3.70,1.90,3.40,4.15,1.90,2.85,2.25,,
October,3.15,3.50,3.00,2.70,2.30,5.90,4.15,3.70,2.60,0.70,,
November,1.85,2.60,4.70,1.90,2.60,4.70,6.45,2.85,1.75,1.85,,
December,4.25,1.25,4.20,1.85,2.20,1.55,11.20,2.75,2.60,0.90,,
Total,22.15,28.65,42.80,28.40,25.35,31.85,44.55,38.95,25.50,32.30,,
Calc annual,22.15,28.65,42.80,28.40,25.35,31.85,44.55,38.95,25.50,32.30,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
