WAINSCOTT-MAYCROFT,,,,,,,,,,
Grid ref,TQ743720,Long,0.505406,Lat,51.420214,Elevation,60,ft,,
Station no,0373/3/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.5,3.94,0.99,2.32,1.94,2.22
February,,,,,1.95,0.37,2.93,1.96,0.08,1.85
March,,,,,1.03,0.6,0.98,1.32,1.83,1.4
April,,,,,0.16,1.24,0.2,1.47,2.13,0.51
May,,,,,4.02,0.35,1.36,1.51,0.72,2.55
June,,,,,2.47,1.81,0.97,4.81,0.57,1.38
July,,,,,0.23,3.1,3.02,2.17,0.96,2.48
August,,,,,0.84,2.5,2.38,4.08,1.45,3.56
September,,,,,2.44,1.55,2.81,3.26,0.07,3.81
October,,,,,3.94,1.25,1.22,3.22,2.46,5.41
November,,,,,0.85,0.59,2.56,1.68,3.38,3.81
December,,,,,1.61,2.36,1.89,3.4,4.3,2.31
Total,,,,,22.04,19.66,21.31,31.2,19.89,31.29
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1960 Oct IDR,,,,,,,,,,
