SEDBURGH-EARLY,,,,,,,,,,
Grid ref,SD657920,Long,-2.5288418,Lat,54.322418,Elevation,400,ft.,,
Station no,RR6563,,,,,,,,,
,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809
January,,,,,,,,2.38,,
February,,,,,,,,4,,
March,,,,,,,,0.57,,
April,,,,,,,,1.72,,
May,,,,,,,,2.8,,
June,,,,,,,,4,,
July,,,,,,,,3.43,,
August,,,,,,,,4.58,,
September,,,,,,,,6.86,,
October,,,,,,,,5.15,,
November,,,,,,,,5.5,,
December,,,,,,,,2.64,,
Total,,,,,,,,43.63,,
,,,,,,,,,,
NGR is the church in Sedbergh; there is no information on the record or referenced publication to better locate the gauge.,,,,,,,,,,
NGR could be +/- 1km or more and the altitude 300 ft. higher or possibly more,,,,,,,,,,
