"BIGGAR",,,,,,,,,,,,
Grid ref,NT040377,Long,-3.526045,Lat,55.623371,,,,,,,
Station no,RR4360,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.68,4.05,4.17,,
February,,,,,,,,2.29,2.61,1.98,,
March,,,,,,,,3.10,4.96,3.49,,
April,,,,,,,,1.79,1.38,2.32,,
May,,,,,,,,3.08,2.04,1.99,,
June,,,,,,,,2.56,1.94,2.18,,
July,,,,,,,,2.54,2.07,4.69,,
August,,,,,,,,4.01,3.05,2.23,,
September,,,,,,,,0.62,4.74,2.25,,
October,,,,,,,,7.49,0.52,6.10,,
November,,,,,,,,1.98,2.32,1.67,,
December,,,,,,,,3.75,1.20,3.96,,
Total,,,,,,,,34.89,30.91,37.03,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.89,30.88,37.03,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.03,-0.00,,
