BIGGAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT040377,Long,-3.526045,Lat,55.623371,Elevation,691,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,1.68,4.05,4.17,3.65,1.96,2.46,2.95,2.88,2.02,4.14,2.54,2.37,3,4.94,5.95,3.34,3.07,2.83,4.76,4,,,,
February,,,,,,,,2.29,2.61,1.98,4.98,4.63,2.01,2.07,4.08,4.5,4.56,1.15,4.62,0.58,3.88,0.54,3.13,3.88,0.69,5.04,3.29,,,,
March,,,,,,,,3.1,4.96,3.49,2.24,2.6,2.82,4.27,3.86,1.76,2.49,2.1,0.57,2.24,4.84,4.46,1.71,1.14,0.57,2.07,2.66,,,,
April,,,,,,,,1.79,1.38,2.32,3.35,3.72,0.49,3.62,2.14,2.04,2.39,2.66,0.55,4.09,2.05,0.96,2.09,3.3,1.52,4.31,2.58,,,,
May,,,,,,,,3.08,2.04,1.99,1.53,2.36,1.1,2.18,1.9,1.36,4.4,2.02,1.86,0.79,4.11,1.57,2.63,2.68,3.25,4.68,3.17,,,,
June,,,,,,,,2.56,1.94,2.18,2.25,2.44,4.15,2.5,1.07,1.02,3.36,2.76,0.95,2.36,0.83,0.5,1.75,1.59,1.24,0.36,3.03,,,,
July,,,,,,,,2.54,2.07,4.69,3.61,1.02,1.87,0.9,2.39,3.74,4.46,1.8,3.47,0.71,3.59,3.17,3.63,3.96,4.48,2.05,3.45,,,,
August,,,,,,,,4.01,3.08,2.23,4.31,1.76,3.13,1.17,2.83,4.16,3.73,5.78,2,2.93,5.74,5.82,2.52,5.76,2.97,2.62,2.95,,,,
September,,,,,,,,0.62,4.74,2.25,0.88,1.64,2.48,1.64,1.48,1.43,2.08,2.79,4.78,3.31,2.33,1.52,1.78,4.29,3.87,4.36,4.07,,,,
October,,,,,,,,7.49,0.52,6.1,2.35,3.2,2.5,2.36,1.47,1.28,5.79,5.12,4.69,2.05,1.57,3.13,1.9,3.97,2.89,3.54,3.88,,,,
November,,,,,,,,1.98,2.32,1.67,2.81,4.7,2.9,3.38,4.29,1.53,4.33,3.71,3.46,4.07,2.54,1.29,1.72,3.7,1.77,1.37,4.41,,,,
December,,,,,,,,3.75,1.2,3.96,3.06,4.85,6.13,3.12,5.7,4.24,3.44,2,2.63,5.8,3.08,5.4,3,2.84,4.32,3.22,1.16,,,,
Total,,,,,,,,34.89,30.91,37.03,35.02,34.88,32.04,30.16,34.09,29.08,45.17,34.43,31.95,31.93,39.5,34.31,29.2,40.18,30.4,38.38,38.65,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
