COWDENBEATH STENHOUSE STREET,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT 15493 91539,Long,-3.360394,Lat,56.109104,Elevation,516,ft,,,,,,,,,,,,,
Station no,5477,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,5.06,2.25,6.18,0.8,4.1,1.66,4.21,,,,,,,,
February,,,,,,,4.89,2.36,2.53,1.61,1.21,2.5,0.08,,,,,,,,
March,,,,,,,1.68,2.77,2.85,0.61,2.42,1.21,2.63,,,,,,,,
April,,,,,,,2.01,1.43,0.79,1.53,1.51,2.15,1.61,,,,,,,,
May,,,,,,,2.15,2.54,1.52,2.85,1.81,3.16,3.63,,,,,,,,
June,,,,,,,4.34,4.35,4.84,2.25,1.95,4.91,1.27,,,,,,,,
July,,,,,,,3.95,3.84,1.8,2.46,3.3,5.31,2.23,,,,,,,,
August,,,,,,,2.33,8.76,6.15,5.04,5.85,3.34,,,,,,,,,
September,,,,,,,4.72,5.8,3.86,0.82,4.84,1.63,,,,,,,,,
October,,,,,,,4.1,5.25,4.38,3.36,3.15,2.11,,,,,,,,,
November,,,,,,,5.96,2.95,4.65,4.43,4.1,5.92,,,,,,,,,
December,,,,,,,1,2.45,3.16,4.93,2.42,1.34,,,,,,,,,
Total,,,,,,,42.19,44.75,42.71,30.69,36.66,35.24,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
G moved 1926,,,,,,,,,,,,,,,,,,,,,
Station no,5477,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,,
