BARROW CAVENDISH PK,,,,,,,,,,,,,,,,,,,,
Grid ref,SD190684,Long,-3.2296,Lat,54.1052,Elevation,60,ft,,,,,,,,,,,,
Station no,RR1858,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,4.57,3.59,4.96,1.73,6.64,3.74,1.88,0.67,0.77,3.35,5.78,5.01,1.76,3.54,2.14,1.55,2.07
February,,,,1.03,2.09,1.2,3.29,3.34,2.59,2.81,2.3,4.06,2.19,2.58,3.14,3.73,1.7,2.22,0.78,2.43
March,,,,3.66,2.16,0.97,2.39,3.22,1.27,1.68,1.62,3.95,3.09,1.21,3.47,3.93,3.76,1.86,3.6,2
April,,,,0.47,1.17,1.03,2.41,2.5,1.78,2.15,2.01,1.85,4.4,2.14,1.05,1.88,2.78,1.8,1.3,1.87
May,,,,1.29,1.03,1.92,0.16,3.27,2.69,1.67,1.09,3.53,1.75,1.01,1.67,1.69,4.86,1.66,1.12,3.82
June,,,,2.24,0.67,2.76,3.74,2.08,3.27,3.94,2.89,3.64,4.37,2.59,0.32,1.07,1.45,0.51,1.47,1.33
July,,,,2.88,1.93,2.21,2.96,4.17,0.46,5.07,3.49,4.69,5.29,1.9,4.79,2.62,5.98,1.13,6.99,2.82
August,,,,3.55,7.5,3.15,3.22,5.3,6.69,5.16,1.37,5.88,4.35,3.3,1.41,1.62,2.56,0.89,4.23,5.72
September,,,,1.86,4.82,5.77,3.64,2.59,4.33,4.51,3.18,3.16,2.24,3.98,3.27,4.48,4.69,3.24,1.32,3.84
October,,,,4.52,6.2,5.07,3.11,7.74,4.34,1.61,2.11,2.45,3.82,3.17,3.05,4.13,6.6,3.19,4.2,4.83
November,,,,2.37,5.02,4.8,3.05,7.35,2.87,1.22,4.27,5.27,5.71,4.92,1.93,4.35,4.5,2.87,5.35,2.03
December,,,,1.7,3.26,1.75,6.59,6,2.7,2.08,5.65,3.4,3.11,2.62,3.83,1.41,4.88,2.77,2.81,3.5
Total,,,,30.14,39.44,35.59,36.29,54.2,36.73,33.78,30.65,42.65,43.67,35.2,32.94,32.67,47.3,24.28,34.72,36.26
,,,,,,,,,,,,,,,,,,,,
1887 June 0.51,,,,,,,,,,,,,,,,,,,,
