"STORNOWAY AIRPORT",,,,,,,,,,,,
Grid ref,NB465332,Long,-6.317876,Lat,58.214412,,,,,,,
Station no,5796/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.94,5.50,3.41,3.77,3.59,5.24,6.22,6.74,7.56,4.21,,
February,3.09,3.20,2.87,3.74,2.38,2.56,2.39,3.54,2.12,4.35,,
March,2.44,4.08,1.81,3.84,1.79,1.43,4.17,2.13,2.01,1.26,,
April,4.28,1.85,3.52,1.45,2.00,2.51,2.36,1.76,5.36,3.01,,
May,0.96,2.17,2.12,2.78,2.51,2.51,2.25,5.06,1.41,1.69,,
June,2.34,2.71,1.67,3.68,2.28,2.07,3.53,1.53,2.93,2.89,,
July,3.40,2.85,4.11,2.40,0.56,5.20,2.36,1.44,4.05,3.05,,
August,3.07,3.48,3.63,1.82,1.41,3.59,5.20,3.26,2.86,3.13,,
September,2.27,4.02,2.38,4.41,4.12,3.23,3.27,3.35,2.74,3.13,,
October,3.39,5.17,4.54,7.14,4.04,4.56,5.26,3.68,5.63,1.70,,
November,5.83,3.68,7.11,5.41,2.40,4.65,3.04,2.26,6.83,4.04,,
December,6.19,5.95,4.19,6.44,7.42,5.03,7.27,3.13,5.35,5.10,,
Total,42.20,44.66,41.36,46.88,34.50,42.58,47.32,37.88,48.85,37.56,,
Calc annual,42.20,44.66,41.36,46.88,34.50,42.58,47.32,37.88,48.85,37.56,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
