ACKWORTH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE441171,Long,-1.3338,Lat,53.6493,Elevation,135,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,0.87,4.4,2.61,1.04,2.41,0.57,2.36,1.54,3.34,2.66,2.17,3.03,0.99,1.51,1.61,2.24,1.23,4.27,1.72,3.34,2.02,,,,,,,,,
February,,1,1.44,0.62,1.21,2.59,3.83,0.47,1.89,2.27,1.91,0.18,2.5,4.29,0.79,3.52,1.71,1.05,2.41,0.59,0.36,3.05,,,,,,,,,
March,,0.96,2.49,2.28,1.73,0.91,4.09,1.61,0.89,4.1,1.63,0.68,1.6,1.5,1.03,0.67,0.55,1.9,1.89,0.38,2.28,0.29,,,,,,,,,
April,,0.82,0.24,2.68,0.47,0.88,0.85,1.99,0.92,1.67,3.29,1.24,2.33,1.78,1.15,2.67,1.49,1.97,0.6,0.75,3.29,3.09,,,,,,,,,
May,,0.65,3.93,2.38,1.45,1.25,2.22,2.07,2.22,0.8,2.17,1.46,0.86,2.81,3.36,3.56,1.71,1.42,2.41,0.96,2.09,2.55,,,,,,,,,
June,,3.64,3.79,0.39,1.73,0.86,0.92,2.13,1.52,0.89,1.72,0.24,1.34,0.98,1.88,0.09,2.94,2.67,3.4,1.12,1.04,4.75,,,,,,,,,
July,,0.18,4.21,0.81,2.59,3.94,1.15,0.65,3.78,4.63,6.06,0.65,3.63,4.35,3.16,0.95,3.17,3.01,0.18,0.95,5.25,3.59,,,,,,,,,
August,,1.24,5.01,1.57,1.56,2.3,2.17,4.03,1.76,2.56,1.4,4.2,5.51,2.23,2.57,3.6,2.45,5.41,2.48,2.11,2.51,4,,,,,,,,,
September,,1.87,1.58,2.22,0.87,0.73,1.98,0.77,5.2,1.73,1.3,1.05,2.59,2.14,2.33,2.37,0.93,2.9,0.19,0.86,4.43,3.97,,,,,,,,,
October,,2.08,2.52,3.04,2.05,0.92,2.55,3.59,1.61,2.86,2.09,1.57,0.95,1.38,3.48,2.92,2.45,1.8,3.35,2.3,2.33,1,,,,,,,,,
November,,2.75,1.72,1.56,2.5,2.15,2.97,0.86,1.02,1.7,1.01,2.35,0.84,2.16,1.87,1.83,3.51,2.88,3.83,3.93,2.08,3.14,,2.01,,,,,,,
December,,3.65,1.83,1.26,4.53,6.05,1.99,1.11,3.48,3.45,2.15,2.42,3.41,2.78,1.74,2.25,0.85,2.43,0.98,4.05,1.83,0.74,,0.84,,,,,,,
Total,,19.71,33.16,21.42,21.73,24.99,25.29,21.64,25.83,30,27.39,18.21,28.59,27.39,24.87,26.04,24,28.67,25.99,19.72,30.83,32.19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1919 Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
