HATFIELD-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL220077,Long,-0.233916,Lat,51.754713,Elevation,340,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,1.31,3.73,1.5,2.54,1.51,1.73,1.77,1.7,1.03,4.31,4.25,3.21,5.87,2.31,1.89,2.58,4.85,1.69,2.06,2.06,2.05,4.72,1.22,0.96,3.33,1.83,1.02,1,2.2,4.35,1.1,2.38,2.56,2.32
February,,,,,,,,2.93,1.89,0.62,0.88,1.54,0.13,1.4,0.29,2.57,2.1,3.93,0.52,1.04,1.66,2.68,1.07,1.17,1.09,1.78,2.65,1.7,1.12,1.19,4.09,4.67,0.84,1.74,2.13,1.87,0.6,2.85,2.38,0.09,2.16
March,,,,,,,,1.7,1.97,0.04,1.59,0.13,1.84,2.61,2.31,0.57,1.15,2.79,0.36,1.78,3.02,3.5,1.23,,0.14,0.69,1.29,5.23,0.87,1.15,0.78,3.69,2.77,0.46,2.29,1.36,0.98,1.2,1.27,2.38,1.61
April,,,,,,,,1.39,0.61,1.28,2.32,3.34,2.01,0.82,1.4,3.9,1.42,2.98,0.12,3.14,1.47,1.6,0.85,1,1.36,1.45,1.29,2.1,1.24,1.82,1.86,2.98,1.6,2.73,0.23,0.48,1.18,0.23,1.15,2.7,0.59
May,,,,,,,,1.08,1.13,1.91,3.55,2.68,3.44,1.93,0.63,2.05,0.74,2.74,2.15,1.69,1.97,1.75,3.08,2.39,0.64,2.44,2.46,1.07,2.96,2.1,1.64,2.34,2,1.4,2.2,4.89,0.61,0.99,2.44,1.44,1.68
June,,,,,,,,2.56,2.18,0.89,0.5,1.51,1.01,1.62,0.72,3.61,3.95,1.96,0.41,1.78,0.52,1.08,0.31,1.68,2.24,1.77,2.34,1.97,3.26,0.62,1.79,1.53,1.39,1.86,4.28,1.87,2.65,1.58,4.05,1.1,1.48
July,,,,,,,,2.37,2.13,2.38,2.62,3.14,2.01,1.3,1.17,0.75,3.94,1.82,1.59,2.25,2.65,3.4,1.88,1.53,1.61,2.47,2.4,2.35,0.85,0.91,4.88,0.79,0.61,3.48,3.29,0.31,2.57,2.41,1.74,2.8,3.2
August,,,,,,,,3.25,2.25,0.73,3.68,4.72,2.1,0.46,2.48,1.83,0.27,3.5,2.21,2.82,0.02,4.42,2.08,2.16,3.26,1.06,3.24,0.07,2.75,1.97,2.63,3.53,4.83,1.83,3.41,1.12,5.13,1.85,2.91,1.48,2.75
September,,,,,,,,4.68,1,0.36,3.26,2.39,1.65,2.41,1.79,4.32,3.84,1.72,1.86,1.57,1.37,0.48,1.11,1.83,2.48,2.13,3.39,1.34,1.65,0.47,2.73,2.63,3.8,1.85,1.64,1.58,2.55,2.8,3.02,0.07,3.71
October,,,,,,,,2.25,3.62,3.42,1.05,0.6,4.34,1.34,1.39,2.97,2.01,2.75,3.2,4.92,3.27,0.88,3.94,2.91,3.35,3.07,1.64,0.11,2.46,5.54,0.4,0.92,2.95,2.9,2,3.95,2.13,1.76,2.29,2.04,5.53
November,,,,,,,,2.36,2.47,6.84,4.02,2.64,1.44,1.05,1.9,4.85,3.48,1.46,3.26,4.88,6.95,2.59,1.65,1.75,3.95,0.25,5.12,1.1,1.83,2.45,5.14,5.14,3.61,1.84,5.07,1.66,0.71,2.06,2.13,2.33,4.16
December,,,,,,,,2.6,2.54,4.8,2.54,0.78,0.5,0.49,4.73,2.86,1.8,3.27,3.36,1.16,1.41,1.42,2.48,1.37,1.55,3.25,2.09,2.61,2.57,1.78,1.5,1.93,2.73,0.51,1.86,2.25,4.13,2.09,3.03,4.43,3.1
Total,,,,,,,,28.48,25.52,24.77,28.55,24.98,22.2,17.2,20.51,31.31,29.01,33.17,22.25,32.9,26.62,25.69,22.26,,23.36,22.42,29.97,21.7,26.28,21.22,28.4,33.48,28.96,21.62,29.4,23.54,27.59,20.92,28.79,23.42,32.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Mar estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
