"HATFIELD (P. STATION)",,,,,,,,,,,,
Grid ref,TL220077,Long,-0.233916,Lat,51.754713,,,,,,,
Station no,927,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.33,1.83,1.02,1.00,2.20,4.35,1.10,2.38,2.56,2.32,,
February,4.67,0.84,1.74,2.13,1.87,0.60,2.85,2.38,0.09,2.16,,
March,3.69,2.77,0.46,2.29,1.36,0.98,1.20,1.27,2.38,1.61,,
April,2.98,1.60,2.73,0.23,0.48,1.18,0.23,1.15,2.70,0.59,,
May,2.34,2.00,1.40,2.20,4.89,0.61,0.99,2.44,1.44,1.68,,
June,1.53,1.39,1.86,4.28,1.87,2.65,1.58,4.05,1.10,1.48,,
July,0.79,0.61,3.48,3.29,0.31,2.57,2.41,1.74,2.80,3.20,,
August,3.53,4.83,1.83,3.41,1.12,5.13,1.85,2.91,1.48,2.75,,
September,2.63,3.80,1.85,1.64,1.58,2.55,2.80,3.02,0.07,3.71,,
October,0.92,2.95,2.90,2.00,3.95,2.13,1.76,2.29,2.04,5.53,,
November,5.14,3.61,1.84,5.07,1.66,0.71,2.06,2.13,2.33,4.16,,
December,1.93,2.73,0.51,1.86,2.25,4.13,2.09,3.03,4.43,3.10,,
Total,33.48,28.96,21.62,29.40,23.54,27.59,20.92,28.79,23.42,32.29,,
Calc annual,33.48,28.96,21.62,29.40,23.54,27.59,20.92,28.79,23.42,32.29,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
