"MOIDART, ROSHVEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM706787,Long,-5.763031,Lat,56.842932,Elevation,40,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,5719,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,7.02,5.75,10.44,8.57,4.01,6.57,5.79,9.72,11.42,7.32,10.32,6.64,8.71,10.04,11.75,15.46,2.25,14.23,7.02,12.11,,,,,,,,
February,,,,5.13,9.31,7.82,9.22,1.89,11.11,1.48,8.66,4.46,8.42,4.48,3.54,5.54,5.32,5.01,6.7,1.84,0.56,7.09,0.71,,,,,,,,
March,,,,9.47,4.93,5.51,1.68,3.04,2.82,4.91,9.44,10.6,4.13,3.2,0.59,3.42,5.91,5.48,8.33,1.31,5.19,1.11,3.54,,,,,,,,
April,,,,6.66,5.4,5.72,4.44,3.07,2.05,6.25,2.63,3.62,3.3,3.73,4.83,6.53,3.24,7.72,3.91,3.32,2.99,3.02,6.02,,,,,,,,
May,,,,5.5,3.55,1.06,4.7,4.22,3.78,1.23,7.44,5.76,8.53,4.35,4.11,7.42,6,3.49,0.92,4.93,3.37,4.16,1.57,,,,,,,,
June,,,,4.69,3.32,1.01,2.24,3.18,3.99,7.5,3.47,2.8,4.65,5.57,4.71,3.47,4.01,4.6,3.61,5.09,4.85,6.92,2.23,,,,,,,,
July,,,,1.1,3.2,4.6,4.32,2.44,6.85,2.15,6.42,4.98,5.86,7.67,5.9,3.64,3.68,3.49,6.23,4.62,2.53,6.11,8.1,,,,,,,,
August,,,,2.77,5.62,3.66,3.4,5.88,7.38,5.88,4.31,4.1,4.67,7.76,7.7,4.31,6.1,3.89,4.62,7.34,9.5,2.15,4.23,,,,,,,,
September,,,,2.86,4.9,1.61,3.77,7.65,8.4,9.3,5.44,5.55,3.29,9.33,7.62,5.72,7.59,7.4,5.33,7.12,7.03,2.25,7.96,,,,,,,,
October,,,6.65,6.86,3.27,2.46,9.16,16.04,9.95,3.92,3.84,8.58,3.3,12.17,6.44,5.71,8,8.27,9.36,12.99,11.79,6.56,12.65,,,,,,,,
November,,,9.32,11.91,8.91,4.25,9.86,11.6,9.55,5.55,8.96,2.78,4.98,8.04,5.55,2.24,8.1,7.2,9.45,9.29,9.56,8.47,9,,,,,,,,
December,,,14.15,7.29,9.54,6.88,7.95,4.39,9.66,9.54,6.79,12.06,8.95,8.7,12.57,6.73,7.36,0.4,9.06,13.95,8.96,7.67,8.19,,,,,,,,
Total,,,,71.26,67.7,55.02,69.31,67.41,82.11,63.5,77.12,76.71,67.4,85.32,70.2,63.44,75.35,68.7,82.98,74.05,80.56,62.53,76.31,,,,,,,,
