YARMOUTH-SAILORS-HOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG530072,Long,1.734935,Lat,52.60362,Elevation,27,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.15,2.15,1.11,0.13,1.38,1.44,1.78,1.39,1.53,2.63,1.24,1.04,0.69,2.1,1.78,1.11,2.57,1.2,3.23,1.22,2.22,1.02,1.83,2.58,0.76,1.14,1.26,1.58,0.89,3.71,1.49,0.83,0.91,2.01,1.82,1.98,3.06,2.35,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,2.82,1.1,2.74,1.92,2.55,1.41,2.52,0.72,1.94,0.51,0.63,1.96,1.4,0.66,0.14,1.77,2.22,1.14,0.95,0.3,2.06,1.13,0.98,3.15,1.69,0.5,0.23,3,1.35,2.64,1.61,1.93,0.85,2.56,1.43,1.45,0.79,1.22,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,2.52,1.77,1.21,0.9,1.65,1.25,2.04,1.12,0.93,1.49,1.76,3.36,1.2,2.18,1.65,1.81,0.44,0.75,1.63,2.33,2.18,1.31,1.42,1.15,2.38,1.41,1.65,1.44,1.47,1.71,1.27,2.46,2.5,0.86,1.93,2.4,2.34,3.74,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,2.32,1.03,2.26,2.15,1.04,2.97,1.96,1.17,1.49,1.32,1.04,1.06,1.96,1.03,0.79,1.94,0.13,2.69,0.93,1.36,1.86,0.91,2.97,0.78,2.06,1.48,2.24,0.92,1.74,0.58,2.15,2.61,1.28,1.89,1.16,0.36,2.28,0.76,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.71,3.72,2.58,0.77,0.45,1.79,1.91,0.92,2.93,1.84,2.5,1.02,2.93,1.15,2.58,1.53,0.8,2.8,0.64,0.43,0.97,2.1,2.32,1.55,1.12,3.13,1.88,2.26,1.24,2.05,2.78,1.85,1.27,2.77,0.85,1.26,1.38,1.52,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.82,1.16,2.57,2.58,2.13,3.09,2.22,0.33,0.76,0.66,0.25,0.87,2.24,2.62,1.32,3.2,1.1,2.78,0.39,1.73,2.13,2.9,1.03,2.81,1.73,1.86,1.88,0.65,2.9,1.9,1.48,0.97,2.25,2.54,1.77,2.56,0.9,1.37,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,2.89,1.82,4.98,4.53,1.03,2.88,4.07,2.76,0.5,4.23,1.26,3.99,3.72,4.48,4.14,2.28,1.94,3.61,3.34,0.78,0.29,2.09,2.47,1.8,0.71,2.26,2.92,1.42,0.59,0.3,1.37,2.53,2.56,2.91,0.6,2.79,2.31,2.12,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,3.32,4.41,5.03,1.73,2.98,1.49,1.16,2.9,0.92,2.02,2.27,1.94,2.62,1.46,3.47,3.73,2.32,1.83,3.92,2.46,2.18,1.3,0.55,3.72,0.75,4.44,3.64,3.07,3.84,3.7,0.97,2.83,1.56,1.5,0.67,8.19,2.04,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.54,2.86,3.46,2.7,3.02,2.31,1.54,4.73,4.47,1.24,2.3,1.24,3.58,1.14,0.92,1.76,1.01,2.19,0.53,3.66,3.3,0.17,2.92,0.76,0.83,0.94,2.96,1.18,1.9,1.31,0.28,1.88,1.85,1.86,1.7,4.13,1.28,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.44,2.06,1.65,3.63,2.99,4.34,2.73,4.18,6.45,2.31,3.06,1.85,4.16,2.22,3.31,8.63,1.93,2.71,3.86,3.34,0.87,2.89,1.8,2.19,2.01,1.14,3.66,1.15,4.18,2.92,2.92,1.44,3.87,1.71,1.95,1.96,3.56,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
