SUTTON-HIGH-SCHOOL-CHEAM-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ255639,Long,-0.19885426,Lat,51.360315,Elevation,197,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,142/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,2.64,3.15,0.48,4.1,0.76,1.03,2.29,2.94,2.2,1.62,2.86,,,,,,,,,,,,,,,,,,
February,,,1.67,0.73,3.13,4.26,3.95,0.7,1,1.95,0.55,0.47,1.96,,,,,,,,,,,,,,,,,,
March,,,2.84,2.52,3.94,0.55,4.55,0.86,0.57,3.33,1.69,1.15,1.77,,,,,,,,,,,,,,,,,,
April,,,0.04,2.07,0.68,1.25,1.07,2.41,2.44,2.78,2.44,1.01,2.18,,,,,,,,,,,,,,,,,,
May,,,1.17,1.46,0.92,2.84,2.38,1.6,1.93,0.37,0.45,2.09,0.81,,,,,,,,,,,,,,,,,,
June,,,2.96,0.21,1.46,0.67,2,1.73,0.95,1.18,1.44,0.2,1.39,,,,,,,,,,,,,,,,,,
July,,,1.62,2.1,1.87,3.27,1.76,5.13,5.33,1.83,3.58,0.17,3.69,,,,,,,,,,,,,,,,,,
August,,,5.88,1.82,1.58,1.78,3.37,4.21,0.83,3.52,1.54,0.88,2.07,,,,,,,,,,,,,,,,,,
September,,,2.94,1.67,0.93,1.84,1.32,1.96,5.04,0.71,2.71,1.28,1.79,,,,,,,,,,,,,,,,,,
October,,,2.39,2.78,1.39,2.23,3.69,2.5,1.24,0.76,0.76,0.44,1.04,,,,,,,,,,,,,,,,,,
November,,,1.82,2.57,3.07,2.18,5.22,1.2,2.12,1.32,1.52,1.69,1.46,,,,,,,,,,,,,,,,,,
December,,,2.14,0.83,6.46,4.55,2.78,0.85,1.63,3.24,1.51,1.38,3.74,,,,,,,,,,,,,,,,,,
Total,,,28.11,21.91,25.91,29.52,32.85,24.18,25.37,23.93,20.39,12.38,24.76,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the school on Cheam Road.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altitudes and relationships to church and station match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930s record is blank and is the only record wuth the stated Station No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
