MAIDENHEAD-CASTLE-HILL-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU881811,Long,-0.73157717,Lat,51.521956,Elevation,163,ft.,,,,,,,,,,,,
Station no,RR7829,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.03,2.93,1.85,0.69,1.6,2.95,2.59,0.93,1.92,,
February,,,,,,,,,,2.16,0.89,0.08,1.32,3.27,2.05,0.1,0.48,2.61,,
March,,,,,,,,,,1.95,1.97,1.73,0.99,0.22,1.4,1.53,3.98,4.13,,
April,,,,,,,,,,2.2,1.97,1,0.65,0.05,1.58,1.2,0.54,1.79,,
May,,,,,,,,,,3.24,1.44,3.29,1.28,1.01,1.88,0.29,0.2,1.43,,
June,,,,,,,,,,0.61,3.17,1.48,1.91,0.75,2.17,0.48,1.76,3.27,,
July,,,,,,,,,,1.56,5.07,2.6,2.8,2.58,3.34,4.53,1.22,1.15,,
August,,,,,,,,,,2.37,2.34,4.39,4.03,1.54,3.29,3.13,2.47,3.69,,
September,,,,,,,,,,1.48,1,1.76,3.75,1.05,1.9,1.29,6.24,2.66,,
October,,,,,,,,,0.97,4.14,1.24,7.63,3.7,3.87,4.31,3.33,3.11,1.05,,
November,,,,,,,,,4.08,1.06,2.27,2.21,2.17,2.09,4.47,3.92,1.13,1.1,,
December,,,,,,,,,1.97,1.72,0.85,3.82,1.57,2.9,2.33,2.51,4.51,3.05,,
Total,,,,,,,,,,23.52,25.14,31.84,24.86,20.93,31.67,24.9,26.57,27.85,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Castle Hill with the stated relationship to the church and also altitude,,,,,,,,,,,,,,,,,,,,
