GLASHAN DAM,,,,,,,,,,
Grid ref,NR921927,Long,-5.342705,Lat,56.081768,Elevation,330,ft,,
Station no,5423/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,3.08
June,,,,,,,,,,3.17
July,,,,,,,,,,6.53
August,,,,,,,,,,4.59
September,,,,,,,,,,4.26
October,,,,,,,,,,3.29
November,,,,,,,,,,6.94
December,,,,,,,,,,10.03
Total,,,,,,,,,,
,,,,,,,,,,
Station no,5423/4,,,,,,,,,
Midas,13840,,,,,,,,,
Hyd Stn,670599,,,,,,,,,
