MOULTON (PUMPING STATION),,,,,,,,,,,,
Grid ref,TL698645,Long,0.486115,Lat,52.252472,,,,,,,
Station no,1389/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.16,1.97,1.05,0.98,1.85,2.93,1.36,1.99,2.49,2.09,,
February,2.96,0.89,1.26,1.93,1.80,0.80,1.77,3.23,0.09,1.43,,
March,3.67,2.80,0.51,2.36,1.42,0.49,1.55,0.65,2.01,1.48,,
April,3.61,1.43,1.97,0.45,0.50,0.87,0.12,1.32,2.02,0.66,,
May,2.52,1.06,2.01,2.93,2.12,0.79,0.80,2.36,0.38,0.69,,
June,2.41,1.26,3.36,2.23,2.07,1.69,2.37,4.08,1.59,3.10,,
July,1.82,0.82,2.87,3.04,0.28,1.34,2.56,3.43,2.83,3.89,,
August,3.01,2.83,2.44,4.49,0.95,3.74,1.97,3.07,1.76,4.04,,
September,2.89,2.07,1.69,1.47,2.12,1.68,4.30,3.13,0.00,2.96,,
October,0.92,2.76,2.48,2.00,3.33,1.35,1.69,1.66,1.73,5.10,,
November,3.71,3.72,1.37,3.39,0.71,0.86,1.72,1.27,1.34,2.74,,
December,1.71,2.14,0.80,2.55,1.82,2.11,1.99,2.60,3.25,2.89,,
Total,31.39,23.75,21.81,27.82,18.97,18.65,22.20,28.79,19.49,31.07,,
Calc annual,31.39,23.75,21.81,27.82,18.97,18.65,22.20,28.79,19.49,31.07,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
