CALDER DAM,,,,,,,,,,
Grid ref,NS295653,Long,-4.725161,Lat,55.850671,Elevation,918,ft,,
Station no,5291/8/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,7.7,10.5,7.35,,11.1,11.95,4.25,7.4
February,,,5.6,8.5,4.9,,5.8,7.3,4.65,10.75
March,,,2.9,6.5,3,5.95,11.55,2.95,7.55,3.93
April,,,5.1,5.35,7.05,2.02,4.08,3.85,6.85,10.65
May,,2.5,4.6,5.45,7.15,6.05,3.5,5.8,2.4,4.2
June,,6.06,2.2,8.65,5.85,6.1,3.6,4.75,5.32,5.1
July,,6.1,8.95,6.95,1.85,,9.5,7.74,9.35,7.8
August,,10.2,7.4,8.75,1.8,,9.3,7.7,2.6,6.1
September,,6.85,11.65,13.2,8.35,7.7,6.7,7.35,2.25,5.25
October,,11.4,7.2,16.06,7.51,,12.18,8.73,11.5,4.95
November,,3.3,13.4,14.6,5,,4.75,3.9,10.77,12.1
December,,9.9,9.25,13.75,15.45,,11.13,11.7,15.65,13.45
Total,,,85.95,118.26,75.26,,93.19,83.72,83.14,91.68
,,,,,,,,,,
BR 1953 P,,,,,,,,,,
BR 1954 P JFM est,,,,,,,,,,
BR 1955 P FM Est,,,,,,,,,,
BR 1956 NP Big + TME JF JA OND Est Deleted,,,,,,,,,,
BR 1957 P JFM Est,,,,,,,,,,
,,,,,,,,,,
Station no,5291/8/5,,,,,,,,,
Midas,13643,,,,,,,,,
Hyd Stn,659150,,,,,,,,,
