"ARBROATH (MUIRHEADS RES.)",,,,,,,,,,,,
Grid ref,NO607443,Long,-2.641492,Lat,56.588960,,,,,,,
Station no,5599,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.76,1.48,,
February,,,,,,,,,0.34,0.38,,
March,,,,,,,,,3.51,3.26,,
April,,,,,,,,,0.57,3.02,,
May,,,,,,,,,1.89,2.88,,
June,,,,,,,,,1.21,1.25,,
July,,,,,,,,,2.38,2.60,,
August,,,,,,,,,1.93,2.23,,
September,,,,,,,,0.73,5.63,0.59,,
October,,,,,,,,4.87,2.35,3.69,,
November,,,,,,,,1.54,2.43,0.33,,
December,,,,,,,,3.63,1.54,2.31,,
Total,,,,,,,,,25.54,24.02,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.77,25.54,24.02,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
