BURNHAM (WATERWORKS),,,,,,,,,,,,
Grid ref,SU929829,Long,-0.661939,Lat,51.537368,,,,,,,
Station no,997/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.87,1.64,0.96,0.95,2.70,3.75,1.53,3.04,2.33,2.04,,
February,4.59,0.81,1.64,2.19,1.65,0.16,2.88,3.12,0.07,2.14,,
March,3.85,2.38,0.51,2.19,0.78,0.54,1.35,1.62,2.52,1.35,,
April,3.11,1.80,2.35,0.35,0.43,1.51,0.35,1.23,2.55,0.55,,
May,2.34,2.51,1.48,2.73,4.04,0.19,1.01,1.96,0.61,1.86,,
June,1.01,1.34,1.19,3.64,2.23,2.02,1.25,4.04,0.73,1.40,,
July,1.39,0.45,3.33,2.68,0.20,3.65,3.78,2.23,3.78,4.34,,
August,3.64,2.42,2.09,3.03,0.76,3.76,2.49,3.79,2.32,2.54,,
September,2.94,3.04,1.98,1.85,1.82,2.30,2.64,4.08,0.06,3.75,,
October,0.78,2.89,2.70,2.17,3.26,1.98,2.20,3.01,2.49,6.91,,
November,6.38,2.49,1.46,3.84,2.04,0.57,1.95,2.23,2.07,3.77,,
December,1.97,2.65,0.53,2.29,2.52,3.40,2.28,3.05,3.90,2.91,,
Total,34.87,24.42,20.22,27.91,22.43,23.83,23.71,33.40,23.43,33.56,,
Calc annual,34.87,24.42,20.22,27.91,22.43,23.83,23.71,33.40,23.43,33.56,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
