BURNHAM-WW-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU9297682887,Long,-0.66084662,Lat,51.537239,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,997/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.71,2.72,4.55,2.68,2.59,2.98,4.61,1.55,1.84,1.62,1.59,4.61,1.25,0.69,2.87,1.64,0.96,0.95,2.7,3.75,1.53,3.04,2.33,2.04
February,,,,,,,4.32,0.39,0.87,1.85,2.3,1.01,0.93,1.29,1.72,2.55,1.24,1.2,1.02,3.72,4.59,0.81,1.64,2.19,1.65,0.16,2.88,3.12,0.07,2.14
March,,,,,,,2.73,0.25,1.24,2.51,3.23,1.89,0.43,0.21,0.55,1.14,5.84,0.83,1.36,0.85,3.85,2.38,0.51,2.19,0.78,0.54,1.35,1.62,2.52,1.35
April,,,,,,,2.62,0.11,2.86,1.81,1.62,1.23,0.78,1.46,1.08,2,1.65,1.3,1.26,2.59,3.11,1.8,2.35,0.35,0.43,1.51,0.35,1.23,2.55,0.55
May,,,,,,,3.09,1.84,1.3,1.54,1.86,2.88,2,0.52,3.82,4.19,1.8,2.65,2.31,1.45,2.34,2.51,1.48,2.73,4.04,0.19,1.01,1.96,0.61,1.86
June,,,,,,,1.55,0.53,1.12,0.63,1.72,0.39,1.66,1.31,2.24,2.6,2.54,2.66,0.43,1.51,1.01,1.34,1.19,3.64,2.23,2.02,1.25,4.04,0.73,1.4
July,,,,,,,1.67,1.47,2.37,2.28,6.02,1.55,1.76,2.11,2.32,2.7,1.47,1.26,1.05,4.46,1.39,0.45,3.33,2.68,0.2,3.65,3.78,2.23,3.78,4.34
August,,,,,,,1.61,1.98,1.77,0.02,4.28,1.9,1.5,1.5,1.09,4.43,0.25,2.86,2.12,3.74,3.64,2.42,2.09,3.03,0.76,3.76,2.49,3.79,2.32,2.54
September,,,,,,,2.57,1.67,0.87,0.97,0.24,1.32,1.77,1.91,1.77,3.91,1.54,1.82,1.18,2.71,2.94,3.04,1.98,1.85,1.82,2.3,2.64,4.08,0.06,3.75
October,,,,,,,2.3,2.65,4.12,2.93,0.89,3.26,3.15,3.22,2.86,1.42,0.19,1.97,5.94,0.53,0.78,2.89,2.7,2.17,3.26,1.98,2.2,3.01,2.49,6.91
November,,,,,,,1.21,2.67,4.78,6.62,2.81,1.55,1.35,4.03,0.28,4.4,1.28,1.96,2.09,5.28,6.38,2.49,1.46,3.84,2.04,0.57,1.95,2.23,2.07,3.77
December,,,,,,,3.12,2.9,1.15,1.33,1.4,2.7,1.42,1.42,2.62,2.31,2.36,2.74,1.4,1.3,1.97,2.65,0.53,2.29,2.52,3.4,2.28,3.05,3.9,2.91
Total,,,,,,,30.5,19.18,27,25.17,28.96,22.66,21.36,20.53,22.19,33.27,21.75,25.86,21.41,28.83,34.87,24.42,20.22,27.91,22.43,23.83,23.71,33.4,23.43,33.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Total corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
