SHREWSBURY-LEATON-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ469183,Long,-2.7882946,Lat,52.759682,Elevation,267,ft.,,,,,,,,,,,,
Station no,RR8044,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.72,3.64,1.85,1.47,0.5,0.39,2.6,2.57,3.22,,,,,
February,,,,,,,2.28,1.8,1.01,2.76,2.25,3.56,1.94,2,2.14,,,,,
March,,,,,,,2.24,1.72,0.94,1.04,0.88,1.81,1.37,1.04,1.77,,,,,
April,,,,,,,2.85,2.92,2.1,3.01,1.67,0.69,2.2,1.09,1.32,,,,,
May,,,,,,,0.68,2.18,4.86,1.65,2.76,1.78,1.62,1.84,0.77,,,,,
June,,,,,,,1.57,1.5,2.91,5.42,3.13,1.73,3.4,2.14,3.21,,,,,
July,,,,,,,2.38,3.06,2.02,3.31,8.17,1.87,3.98,1.36,1.94,,,,,
August,,,,,,,2.4,5.19,5.16,6.21,0.85,3.62,2.64,1.78,1.93,,,,,
September,,,,,,,5.23,2.61,3.48,2.87,1.73,1.46,1.83,4.87,1.43,,,,,
October,,,,,,,2.92,2.53,4.3,1.52,5.77,2.35,4.46,2.91,,,,,,
November,,,,,,,4.24,2.63,3.19,1.22,2.61,2.51,3.59,3.38,,,,,,
December,,,,,,,4.35,2.61,1.69,0.84,3.83,2.15,3.47,0.66,,,,,,
Total,,,,,,,32.86,32.39,33.51,31.32,34.15,23.92,33.1,25.64,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Leaton Vicarage. Altitudes match.,,,,,,,,,,,,,,,,,,,,
The 1880s records are duplicates,,,,,,,,,,,,,,,,,,,,
