WINCHMORE-HILL-BEAULIEU-8-INCH-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ322945,Long,-0.091225076,Lat,51.633783,Elevation,110,ft.,,,,,,,,,,,,
Station no,RR2326,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,4.46,3.06,3.44,3.06,1.46,1.69,3.87,2.73,1.46,,,,,
February,,,,,,,3.44,1.78,1.41,2.36,1.46,1.55,0.97,2.33,1.21,,,,,
March,,,,,,,1.7,2.25,1.45,1.67,1.76,1.51,2.93,1.86,0.67,,,,,
April,,,,,,,1.99,2.13,1.57,1.3,0.43,2.69,1.42,0.66,1.31,,,,,
May,,,,,,,1.69,2.55,0.89,2.84,1.06,0.85,3.4,2.24,0.61,,,,,
June,,,,,,,3.47,1.15,0.41,0.85,0.85,2.5,3.31,2.27,2.28,,,,,
July,,,,,,,1.86,4.03,0.52,0.85,0.62,3.56,3.37,2.05,1.12,,,,,
August,,,,,,,2.18,2.86,2.6,1.21,2.18,0.72,2.57,2.55,1.18,,,,,
September,,,,,,,4.79,2.36,2,3.38,2,4.93,1.61,3.22,,,,,,
October,,,,,,,2.36,2.01,2.34,1.9,3.98,1.02,5.32,2.82,,,,,,
November,,,,,,,2.05,0.79,0.93,2.4,1.19,0.66,4.05,2.08,,,,,,
December,,,,,,,2.43,1.81,5.32,3.23,2.97,1.44,4.63,0.51,,,,,,
Total,,,,,,,32.42,26.78,22.88,25.05,19.96,23.12,37.45,25.32,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is Beaulieu. Stated altitude incorrect but has a ? by it, value used is from OS map",,,,,,,,,,,,,,,,,,,,
"There are 3 gauges at this location and there is considerable duplication of readings, perhaps more than would normally be expected even though the gauges record very similar readings. 6 of the monthly readings, out of 56, are identical on all 3 gauges",,,,,,,,,,,,,,,,,,,,
