WINCHMORE-HILL-BEAULIEU-5-INCH-GAUGE-FIRST,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ322945,Long,-0.091225076,Lat,51.633783,Elevation,110,ft.,,,,,,,,,,,,
Station no,RR2326,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,3.09,1.46,1.69,3.92,2.76,1.48,,,,,
February,,,,,,,,,,2.38,1.47,1.55,0.98,2.29,1.24,,,,,
March,,,,,,,,,,1.68,1.76,1.53,2.95,1.86,0.69,,,,,
April,,,,,,,,,,1.32,0.43,2.69,1.43,0.66,1.32,,,,,
May,,,,,,,,,,2.86,1.06,0.85,3.45,2.25,0.62,,,,,
June,,,,,,,,,,0.85,0.86,2.5,3.31,2.31,2.31,,,,,
July,,,,,,,,,,0.86,0.63,3.54,3.38,2.08,1.12,,,,,
August,,,,,,,,,,1.21,2.18,0.72,2.61,2.54,1.19,,,,,
September,,,,,,,,,,3.4,2.04,4.98,1.6,3.26,,,,,,
October,,,,,,,,,,1.9,4,1.02,5.4,2.84,,,,,,
November,,,,,,,,,,2.42,1.2,0.66,4.09,2.1,,,,,,
December,,,,,,,,,,3.27,2.99,1.44,4.73,0.51,,,,,,
Total,,,,,,,,,,25.24,20.08,23.17,37.85,25.46,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is Beaulieu. Stated altitude incorrect but has a ? by it, value used is from OS map",,,,,,,,,,,,,,,,,,,,
