BERE-REGIS-WHITELOVINGTON,,,,,,,,,,
Grid ref,SY846944,Long,-2.21935,Lat,50.74906,Elevation,150,ft,,
Station no,RR8941,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,4.54,4.74,1.23,2.19,0.77,5.29
February,,,,,3.75,0,0.48,3.98,2.42,3.8
March,,,,,2.4,2.77,3.84,5.33,1.15,0.95
April,,,,,2.09,2.5,0.74,3.43,1.65,3.28
May,,,,,1.86,0.24,0.24,1.54,3.21,1.14
June,,,,,2.16,1.47,2.01,3.06,0.99,1.61
July,,,,,4.24,3.57,0.63,0.6,0.41,1.39
August,,,,,2.09,2.96,1.32,4.42,1.41,1.07
September,,,,,2.84,0.13,9.04,3.06,1.48,2.06
October,,,,,4.49,3.52,4.45,1.4,3.82,2.37
November,,,,,8.39,6.85,0.88,1.01,4.25,5.21
December,,,,,3.43,2.94,6.62,6.38,4.48,2.95
Total,,,,,42.28,31.69,31.48,36.4,26.04,31.12
,,,,,,,,,,
1899 End Dec Station ends,,,,,,,,,,
,,,,,,,,,,
Annual values 1894-5 7-9 queried in 1928 Survey,,,,,,,,,,
Annual value 1896 rejected from 1928 Survey,,,,,,,,,,
