"BIRMINGHAM W.W. (ESGAIR GARTHEN)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4218,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,8.00,9.92,10.00,10.40,7.80,8.40,10.10,12.00,16.50,2.60,11.20,
February,5.65,0.57,10.70,15.97,2.80,14.65,6.20,7.10,9.30,1.20,0.75,
March,8.72,7.62,5.80,3.83,3.50,3.76,3.90,8.70,5.40,1.60,4.20,
April,11.80,2.25,5.11,5.25,6.80,6.60,3.80,5.40,3.00,1.60,5.00,
May,6.71,3.14,2.14,6.50,8.50,6.00,5.00,2.60,1.40,5.00,4.30,
June,3.90,1.00,4.44,2.44,4.55,0.45,4.00,9.50,8.50,4.80,2.80,
July,7.05,3.47,8.05,7.34,7.40,4.90,7.80,7.70,4.90,5.10,10.50,
August,3.30,8.40,5.85,8.50,11.00,5.80,7.20,13.50,8.60,4.80,9.40,
September,6.42,3.20,6.35,7.78,10.80,6.67,5.50,9.80,2.80,3.20,10.20,
October,6.65,3.30,1.90,14.70,8.90,10.35,6.90,7.80,9.90,11.50,13.40,
November,3.20,6.55,3.30,7.70,5.60,6.20,12.20,6.76,15.20,16.93,11.20,
December,5.70,10.00,8.80,11.00,12.40,8.00,3.10,3.65,6.40,17.10,9.70,
Total,77.10,59.42,72.44,101.41,90.05,81.78,75.70,94.51,91.90,75.43,92.65,
Calc annual,77.10,59.42,72.44,101.41,90.05,81.78,75.70,94.51,91.90,75.43,92.65,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
