CHRISTCHURCH-CARBERY,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ137917,Long,-1.80708,Lat,50.72524,Elevation,98,ft,,,,,,,,,,,,
Station no,RR7644,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,5.62,4.81,3.73,,1.83,2.84,6.85,4.51,2,4.84,1.1,6.26,1.55,4.28
February,,,,,,,4.59,2.16,1.71,,2.89,1.59,2.53,2.99,0.84,2.48,2.81,1.6,2.57,4.12
March,,,,,,,2.13,3.19,1.73,,1.42,1.3,2.93,2.95,0.38,0.88,3.36,2.36,1.69,0.65
April,,,,,,,2.33,2.28,2.84,,0.53,3.95,1.72,0.85,2.4,1.74,1.94,3.21,2.8,2.09
May,,,,,,,1.28,1.93,2.01,,1.59,0.88,2.7,0.95,0.9,2.17,0.23,3.02,3.03,1.58
June,,,,,,,1.68,1.35,0.83,,0.17,2.29,2.11,2.61,1.72,2.38,1.35,0.47,1.16,4.64
July,,,,,,,1.32,4.16,0.67,,1.39,3.59,2.9,1.97,1.64,3.89,0.6,3.77,1.59,3.1
August,,,,,,2.68,3.11,1.68,5.18,,2.05,1.43,1.34,2.76,2.83,2.07,4.03,2.6,3.89,5.21
September,,,,,,0.01,6.99,1.96,3.33,,1.66,6.14,1.34,1.92,2.37,1.57,5.33,2.07,2.95,3.82
October,,,,,,7.79,1.68,3.62,2.67,,4.63,2.39,6,3.33,4.43,6.43,1.69,2.48,2.99,1.3
November,,,,,,4.44,2.3,1.18,2.89,,2.27,1.01,4.5,2.88,3.5,5,4.95,7.88,2.73,0.17
December,,,,,,4.78,2.06,1.21,7.73,,3.32,1.97,5,0.88,2.89,0.94,7.86,1.76,1.19,1.2
Total,,,,,,,35.09,29.53,35.32,,23.75,29.38,39.92,28.6,25.9,34.39,35.25,37.48,28.14,32.16
,,,,,,,,,,,,,,,,,,,,
1869 Imperfect so not sent,,,,,,,,,,,,,,,,,,,,
1880 BR has record imperfect,,,,,,,,,,,,,,,,,,,,
