PUDDLETOWN-CLYFFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY782921,Long,-2.31023,Lat,50.72811,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,5.73,4.87,2.24,5.57,1.91,4.67,2.89,2.43,2.37,2.65,0.87,5.29,6.08,,,,,,,,,,,,,
February,,,,,,4.91,1.95,3.68,3.34,1.58,1.09,2.25,0.01,3.99,0.12,3.63,3.47,5.85,,,,,,,,,,,,,
March,,,,,,0.53,0.71,3.62,3.4,0.19,1.59,1.68,2.2,3.48,2.98,1.19,4.34,4.72,,,,,,,,,,,,,
April,,,,,,3.13,4.01,2.33,1.8,1.44,2.3,3.17,2.88,1.48,1.77,4.23,1.62,2.46,,,,,,,,,,,,,
May,,,,,,5.05,3.94,1.1,1.48,2.67,3.54,3.94,2.86,1.69,0.83,1.59,0.45,3.51,,,,,,,,,,,,,
June,,,,,,0.55,2.98,2.84,2,1.92,0.57,3.03,2.45,0.55,1.29,3.95,1.8,0.84,,,,,,,,,,,,,
July,,,,,,3.44,1.36,3.82,1.69,1.12,1.96,4.08,1.79,2.43,0.14,0.46,5.29,3.01,,,,,,,,,,,,,
August,,,,,,3.25,0.79,4.29,3.9,1.49,4.3,,1.03,0.96,2.92,3.4,0.12,1.45,,,,,,,,,,,,,
September,,,,,,3.14,0.4,6.71,1.81,0.92,3.86,1.8,3.62,2.31,2.69,3.7,2.57,2.74,,,,,,,,,,,,,
October,,,,,,7.07,4.04,3.16,8.98,4.75,3.13,0.55,6.59,2.05,1.72,4.84,1.81,4.24,,,,,,,,,,,,,
November,,,,,,4.04,12.21,3.77,4.57,9.74,7.69,5.46,2.64,0.77,2.27,6.19,4,2.59,,,,,,,,,,,,,
December,,,,,,5.82,0.7,4.59,2.66,9.54,5.37,1.32,1.52,1.35,9.45,5.58,3.78,3.91,,,,,,,,,,,,,
Total,,,,,,46.66,37.96,42.15,41.2,37.27,40.07,,30.02,23.43,28.83,39.63,34.54,41.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huge estate S of house is nearest given elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Aug Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Not printed Recording dial gauge - deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Not printed Recorder - deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Not printed - deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
