KIMBERLEY (SWINGATE RESERVOIR),,,,,,,,,,,,
Grid ref,SK495442,Long,-1.263996,Lat,52.992851,,,,,,,
Station no,2595/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.03,,,,,,,,,,,
February,2.57,,,,,,,,,,,
March,3.30,,,,,,,,,,,
April,1.70,,,,,,,,,,,
May,2.91,,,,,,,,,,,
June,1.51,,,,,,,,,,,
July,0.58,,,,,,,,,,,
August,4.59,,,,,,,,,,,
September,1.36,,,,,,,,,,,
October,0.72,,,,,,,,,,,
November,4.81,,,,,,,,,,,
December,1.36,,,,,,,,,,,
Total,27.44,,,,,,,,,,,
Calc annual,27.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
