"NUNEHAM PARK GARDENS",,,,,,,,,,,,
Grid ref,SU547983,Long,-1.210242,Lat,51.680808,,,,,,,
Station no,1048,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.09,1.42,0.88,3.00,2.86,0.23,3.00,0.47,1.09,1.85,,
February,4.36,1.34,1.12,1.45,3.16,0.59,1.15,0.97,1.02,0.50,,
March,0.74,1.97,1.59,3.19,0.94,3.15,1.56,0.63,2.11,1.81,,
April,0.70,2.71,1.37,2.73,1.10,2.03,0.47,2.00,3.80,2.25,,
May,1.40,1.50,2.10,4.04,3.50,0.89,1.50,2.10,1.06,1.12,,
June,2.13,1.57,2.64,6.51,1.22,3.57,2.68,2.12,0.64,4.05,,
July,1.48,3.60,0.99,2.45,2.11,0.51,1.14,2.93,1.24,2.07,,
August,3.04,2.71,3.20,3.48,1.98,3.17,1.53,0.90,3.19,3.19,,
September,0.33,2.39,1.26,2.17,1.66,1.23,0.97,0.60,1.86,2.16,,
October,2.55,1.58,2.01,6.81,1.19,1.22,4.34,5.08,1.23,3.93,,
November,1.93,0.65,2.83,1.95,1.36,2.49,2.60,2.10,1.06,0.79,,
December,3.98,4.06,1.50,1.18,2.02,0.98,1.91,3.63,1.74,2.57,,
Total,25.73,25.50,21.49,38.96,23.10,20.06,22.85,23.53,20.04,26.29,,
Calc annual,25.73,25.50,21.49,38.96,23.10,20.06,22.85,23.53,20.04,26.29,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
