ASSINGTON-HALL,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL9333738767,Long,0.81588503,Lat,52.013642,Elevation,200,ft,,,,,,,,,,,,,
Station no,1334,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,2.22,1.34,3.55,1.71,1.87,1.66,0.82,1.3,1.1,2.45,3.76,4.26,,,
February,,,,,,,2.51,2.96,1.18,0.56,0.63,2.39,0.39,1.17,0.18,2.49,2.24,2.66,,,
March,,,,,,,0.1,2.2,2.12,0.08,1.29,0.17,0.94,1.69,1.94,0.56,0.57,3.11,,,
April,,,,,,,3.94,2.17,1.07,1.52,1.67,3.28,1.96,0.81,2.23,2.24,1.34,2.8,,,
May,,,,,,,1.09,0.65,2,1.61,2.25,2.2,3.08,1.07,0.95,1.82,1.03,2.55,,,
June,,,,,,,3.2,3.32,2.46,0.79,0.77,1.24,0.56,1.57,1.35,2.43,2.08,1.68,,,
July,,,,,,,2.38,3.77,1.99,2.2,3.61,3.08,3.35,0.94,1.04,0.49,3.2,1.74,,,
August,,,,,,,1.55,2.57,2.42,1.6,1.84,2.96,1.3,0.91,2.01,0.99,0.65,1.68,,,
September,,,,,,,1.07,4.39,0.78,1.14,4.54,1.79,1.55,2.79,1.21,3.05,2.4,,,,
October,,,,,,,2.83,2.03,2.4,2.94,1.07,0.62,4.52,1.49,1.31,2.28,1.61,,,,
November,,,,,,,3.27,2.24,1.48,4.02,2.92,1.63,1.18,1.11,1.34,3.82,3.08,,,,
December,,,,,,,0.69,2.03,3.25,4.16,2.25,0.62,0.31,0.38,3.78,2.64,1.7,,,,
Total,,,,,,,24.85,29.67,24.7,22.33,24.71,21.64,19.96,15.23,18.44,25.26,23.66,,,,
