OSCOTT ST MARY'S COLLEGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SP099939,Long,-1.855,Lat,52.543,Elevation,461,ft,,,,,,,,,,,,
Station no,RR4703,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,2.22,2.1,2.83,1.78,3.27,1.79,2.04,0.41,0.65,2.23,2.97,,,,,,
February,,,,0.97,2.29,1.2,2.51,1.85,1.08,2.64,2.48,2.8,2.35,3.01,,,,,,
March,,,,2.65,1.11,0.67,2.23,2.06,0.9,0.78,1.02,2.32,1.67,1.28,,,,,,
April,,,,0.69,1.36,1.04,2.58,2.54,1.95,2.78,1.39,0.71,2.99,1.1,,,,,,
May,,,,2.41,2.71,1.92,0.61,2.46,4.73,3.22,1.78,1,2.6,1.69,,,,,,
June,,,,3.9,0.73,3.53,2.47,0.81,2.35,4.65,2.97,1.87,3.54,2.8,,,,,,
July,,,,2.26,1.58,6.64,1.38,3.7,0.66,3.19,4.63,1.35,3.83,3.44,,,,,,
August,,,,2.67,2.23,2.96,2.33,3.45,6.29,5.47,0.99,4.15,1.84,0.55,,,,,,
September,,,,1.84,2.99,3.43,3.66,2.36,1.7,3.15,3.84,1.28,2.3,4.65,,,,,,
October,,,4.16,1.79,2.5,6.82,1.5,1.52,3.17,0.88,5.46,2.9,5.89,2.31,,,,,,
November,,,3.8,1.57,2.93,3.4,3.84,2.58,2.84,1.14,1.47,2.16,3.31,3.99,,,,,,
December,,,3.85,0.42,2.16,1.27,5.35,1.63,2.04,0.71,3.35,2.53,3.96,,,,,,,
Total,,,,23.39,24.69,35.71,30.24,28.23,29.5,30.65,29.79,23.72,36.51,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Inspection details in British Association 1875 Report give the location as SW of the college.",,,,,,,,,,,,,,,,,,,,
"The old 25" OS Map shows an observatory in that area.",,,,,,,,,,,,,,,,,,,,
1883 Dec and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,
