"ISLEHAM LOCK",,,,,,,,,,,,
Grid ref,TL649761,Long,0.420079,Lat,52.358155,,,,,,,
Station no,1395/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.18,1.36,0.82,0.98,1.47,2.49,1.27,1.69,2.33,1.99,,
February,2.19,0.58,0.75,1.89,1.45,0.54,2.10,2.69,0.07,1.12,,
March,3.00,2.03,0.22,1.96,1.24,0.50,1.75,0.68,1.59,1.28,,
April,2.75,0.91,1.47,0.36,0.53,1.06,0.09,0.79,1.77,0.44,,
May,2.20,1.37,1.40,2.51,1.51,0.84,0.88,2.73,1.05,0.65,,
June,1.46,1.04,3.07,1.62,2.58,2.18,2.26,4.57,1.28,2.95,,
July,0.78,0.42,2.47,2.82,0.13,2.37,3.45,4.34,4.52,3.01,,
August,2.45,1.99,2.11,4.15,1.07,4.48,2.28,2.71,0.88,3.52,,
September,2.31,3.01,0.84,1.54,1.76,1.48,3.82,2.49,0.00,2.91,,
October,1.01,1.68,1.99,1.93,2.46,1.25,1.27,2.11,1.58,3.53,,
November,2.55,2.83,1.10,2.86,0.98,0.85,1.34,1.35,1.36,3.12,,
December,1.22,1.49,0.75,1.71,1.60,1.96,1.88,2.46,3.12,2.54,,
Total,24.10,18.71,16.99,24.33,16.78,20.00,22.39,28.61,19.55,27.06,,
Calc annual,24.10,18.71,16.99,24.33,16.78,20.00,22.39,28.61,19.55,27.06,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,,
