"SOBERTON GOSPORT W.W. MISLINGFORD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,699,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.94,4.14,5.55,1.90,3.11,4.32,5.12,2.56,5.74,1.57,4.90,
February,0.52,0.29,3.37,6.00,0.53,4.91,2.34,4.67,2.19,1.51,1.51,
March,2.36,1.22,2.46,1.98,1.76,0.75,0.64,3.57,2.75,0.19,1.35,
April,3.77,0.97,3.45,3.27,3.38,2.71,3.09,1.96,1.81,0.96,2.57,
May,1.87,1.79,1.25,2.17,3.78,4.26,1.74,0.77,1.56,2.16,1.85,
June,2.43,0.03,1.64,0.45,3.21,0.00,2.54,2.78,2.66,1.54,0.47,
July,6.14,0.26,4.67,0.92,4.05,3.47,2.07,3.22,1.95,1.35,2.32,
August,1.53,2.69,2.83,2.43,3.01,4.22,1.32,4.94,2.40,2.20,4.72,
September,2.31,0.88,1.88,1.70,6.07,3.08,0.59,6.48,1.00,0.37,3.25,
October,3.51,0.81,1.18,6.27,4.52,4.82,2.60,2.41,6.98,4.21,2.23,
November,2.16,2.27,2.17,1.65,2.97,3.58,7.25,3.39,3.23,8.93,6.03,
December,3.38,2.06,4.76,3.63,5.19,3.91,0.37,4.29,3.22,7.52,4.20,
Total,33.92,17.41,35.21,32.37,41.58,40.03,29.67,41.04,35.49,32.51,35.40,
Calc annual,33.92,17.41,35.21,32.37,41.58,40.03,29.67,41.04,35.49,32.51,35.40,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
